"Language","N_obs","Duration","NS","ShE","ID"
"ENG",60,13.015,81.6666666666667,9.51,7.09
"ITA",54,14.4931481481481,101.833333333333,8.32,5.29
"DEU",75,16.0624,95.4,9.3,6.08
"FRA",150,13.3911333333333,91.3333333333333,8.39,6.68
"SPA",150,15.2272666666667,117.2,8.32,5.43
"FIN",150,14.5928,104,9.54,5.49
"HUN",150,17.8628,103.266666666667,9.83,5.9
"TUR",149,16.3876510067114,114.174496644295,9.19,5.34
"SRP",150,15.1915333333333,107.6,8.79,5.47
"EUS",150,15.0602,112.333333333333,8.32,4.83
"CAT",150,16.6405333333333,116.8,8.1,5.49
