"language","nodes","edges","density","mean_degree","max_degree","components","largest_component","clustering_coefficient","assortativity","modularity"
"SPA",7266,48674,0.00184414905880162,13.3977429121938,3533,1,7266,0.0187603221911732,-0.286595038357709,0.273927341406516
"FRA",6591,45382,0.00208966611710594,13.7708997117281,2924,1,6591,0.0258816374635089,-0.297679891355471,0.284418249004956
"DEU",5818,39479,0.00233304630463702,13.5713303540736,1702,1,5818,0.0420546006252803,-0.222744979837096,0.254512373995445
"ITA",6832,48642,0.00208453540598943,14.2394613583138,2574,1,6832,0.0281360854971034,-0.273988559829895,0.27511956913051
"ENG",6632,52453,0.00238548550790153,15.8181544028951,2740,1,6632,0.0294956658107858,-0.227101962086774,0.234840003753467
"FIN",6096,28114,0.00151333113713534,9.22375328083989,1965,1,6096,0.0168104650318579,-0.110115269680302,0.336072634389281
"HUN",8053,44093,0.00135999771508787,10.9507016018875,4758,1,8053,0.0111934960900248,-0.125159162263694,0.282081183261139
"EUS",6244,34570,0.00177367132931356,11.0730301089045,2421,1,6244,0.0206330468270263,-0.103720039856086,0.314564162938037
"cat",6730,47379,0.00209242689324357,14.079940564636,2932,1,6730,0.024045820367567,-0.317229419343597,0.276620540429812
"SRP",8118,44474,0.00134986890877118,10.9568859324957,3261,1,8118,0.01686667984246,-0.174340424825633,0.341029095091064
"f_TUR",7375,40490,0.00148906142976008,10.9803389830508,1893,1,7375,0.0212405128622479,-0.0980691473291986,0.335857976155471
