"from","to","weight","language"
"1","1",41,"CAT"
"1","2",1109,"CAT"
"2","2",8,"CAT"
"1","3",30,"CAT"
"2","3",684,"CAT"
"3","3",3,"CAT"
"1","4",41,"CAT"
"2","4",207,"CAT"
"3","4",52,"CAT"
"4","4",3,"CAT"
"1","5",122,"CAT"
"2","5",212,"CAT"
"3","5",29,"CAT"
"4","5",161,"CAT"
"5","5",15,"CAT"
"1","6",60,"CAT"
"2","6",7,"CAT"
"3","6",12,"CAT"
"4","6",307,"CAT"
"5","6",165,"CAT"
"6","6",5,"CAT"
"1","7",601,"CAT"
"2","7",9,"CAT"
"3","7",390,"CAT"
"4","7",120,"CAT"
"5","7",82,"CAT"
"6","7",8,"CAT"
"7","7",4,"CAT"
"1","8",23,"CAT"
"2","8",15,"CAT"
"3","8",11,"CAT"
"4","8",16,"CAT"
"5","8",30,"CAT"
"6","8",12,"CAT"
"7","8",9,"CAT"
"8","8",2,"CAT"
"1","9",51,"CAT"
"2","9",21,"CAT"
"3","9",11,"CAT"
"4","9",119,"CAT"
"5","9",57,"CAT"
"6","9",12,"CAT"
"7","9",23,"CAT"
"8","9",16,"CAT"
"1","10",18,"CAT"
"2","10",139,"CAT"
"3","10",9,"CAT"
"4","10",61,"CAT"
"5","10",56,"CAT"
"6","10",195,"CAT"
"7","10",74,"CAT"
"8","10",8,"CAT"
"9","10",8,"CAT"
"10","10",1,"CAT"
"1","11",15,"CAT"
"2","11",140,"CAT"
"3","11",227,"CAT"
"4","11",30,"CAT"
"5","11",75,"CAT"
"6","11",17,"CAT"
"7","11",60,"CAT"
"8","11",5,"CAT"
"9","11",4,"CAT"
"10","11",3,"CAT"
"11","11",2,"CAT"
"1","12",412,"CAT"
"2","12",4,"CAT"
"3","12",249,"CAT"
"4","12",79,"CAT"
"5","12",74,"CAT"
"7","12",1,"CAT"
"8","12",16,"CAT"
"9","12",3,"CAT"
"10","12",55,"CAT"
"11","12",43,"CAT"
"1","13",28,"CAT"
"2","13",6,"CAT"
"3","13",89,"CAT"
"4","13",34,"CAT"
"5","13",51,"CAT"
"6","13",2,"CAT"
"7","13",3,"CAT"
"8","13",149,"CAT"
"9","13",24,"CAT"
"10","13",118,"CAT"
"11","13",31,"CAT"
"13","13",5,"CAT"
"1","14",20,"CAT"
