"from","to","weight","language"
"1","1",28,"DEU"
"1","2",64,"DEU"
"2","2",25,"DEU"
"1","3",106,"DEU"
"2","3",81,"DEU"
"3","3",7,"DEU"
"1","4",133,"DEU"
"2","4",312,"DEU"
"3","4",46,"DEU"
"4","4",3,"DEU"
"1","5",118,"DEU"
"2","5",46,"DEU"
"3","5",15,"DEU"
"4","5",69,"DEU"
"1","6",131,"DEU"
"2","6",127,"DEU"
"3","6",23,"DEU"
"4","6",7,"DEU"
"5","6",7,"DEU"
"1","7",11,"DEU"
"2","7",12,"DEU"
"3","7",34,"DEU"
"4","7",153,"DEU"
"5","7",9,"DEU"
"6","7",79,"DEU"
"1","8",12,"DEU"
"2","8",15,"DEU"
"3","8",26,"DEU"
"4","8",33,"DEU"
"5","8",36,"DEU"
"6","8",41,"DEU"
"7","8",5,"DEU"
"8","8",2,"DEU"
"1","9",12,"DEU"
"2","9",11,"DEU"
"3","9",9,"DEU"
"4","9",9,"DEU"
"5","9",7,"DEU"
"6","9",1,"DEU"
"7","9",6,"DEU"
"8","9",3,"DEU"
"1","10",25,"DEU"
"2","10",98,"DEU"
"3","10",42,"DEU"
"4","10",6,"DEU"
"5","10",15,"DEU"
"6","10",4,"DEU"
"7","10",27,"DEU"
"8","10",11,"DEU"
"1","11",16,"DEU"
"2","11",17,"DEU"
"3","11",33,"DEU"
"4","11",6,"DEU"
"5","11",4,"DEU"
"6","11",3,"DEU"
"7","11",25,"DEU"
"8","11",7,"DEU"
"9","11",2,"DEU"
"10","11",4,"DEU"
"1","12",28,"DEU"
"2","12",84,"DEU"
"3","12",28,"DEU"
"4","12",8,"DEU"
"5","12",11,"DEU"
"6","12",2,"DEU"
"7","12",35,"DEU"
"8","12",8,"DEU"
"9","12",2,"DEU"
"10","12",2,"DEU"
"11","12",8,"DEU"
"12","12",3,"DEU"
"1","13",160,"DEU"
"2","13",18,"DEU"
"3","13",20,"DEU"
"4","13",5,"DEU"
"5","13",32,"DEU"
"6","13",3,"DEU"
"7","13",84,"DEU"
"8","13",44,"DEU"
"9","13",1,"DEU"
"10","13",3,"DEU"
"11","13",3,"DEU"
"12","13",2,"DEU"
"13","13",1,"DEU"
"1","14",9,"DEU"
"2","14",128,"DEU"
"3","14",10,"DEU"
"4","14",1,"DEU"
"5","14",21,"DEU"
"6","14",2,"DEU"
"7","14",62,"DEU"
"8","14",4,"DEU"
"9","14",1,"DEU"
"10","14",1,"DEU"
"11","14",4,"DEU"
"12","14",2,"DEU"
"13","14",2,"DEU"
"14","14",1,"DEU"
"1","15",22,"DEU"
"2","15",23,"DEU"
"3","15",13,"DEU"
"4","15",7,"DEU"
"5","15",23,"DEU"
"7","15",6,"DEU"
"8","15",4,"DEU"
"9","15",2,"DEU"
"10","15",4,"DEU"
"11","15",5,"DEU"
"12","15",11,"DEU"
"13","15",3,"DEU"
"14","15",1,"DEU"
"1","16",17,"DEU"
"2","16",8,"DEU"
"3","16",9,"DEU"
"4","16",34,"DEU"
"5","16",18,"DEU"
"6","16",15,"DEU"
"7","16",5,"DEU"
"8","16",3,"DEU"
"9","16",12,"DEU"
"10","16",6,"DEU"
"11","16",6,"DEU"
"12","16",2,"DEU"
"13","16",12,"DEU"
"14","16",5,"DEU"
"15","16",16,"DEU"
"1","17",94,"DEU"
"2","17",40,"DEU"
"3","17",10,"DEU"
"4","17",20,"DEU"
"5","17",14,"DEU"
"6","17",16,"DEU"
"7","17",2,"DEU"
"8","17",26,"DEU"
"9","17",4,"DEU"
"10","17",10,"DEU"
"11","17",7,"DEU"
"12","17",8,"DEU"
"13","17",19,"DEU"
"14","17",11,"DEU"
"15","17",6,"DEU"
"16","17",36,"DEU"
"1","18",6,"DEU"
"2","18",19,"DEU"
