"from","to","weight","language"
"1","1",11,"ENG"
"1","2",369,"ENG"
"2","2",2,"ENG"
"1","3",218,"ENG"
"2","3",36,"ENG"
"3","3",13,"ENG"
"1","4",3,"ENG"
"2","4",89,"ENG"
"3","4",72,"ENG"
"4","4",1,"ENG"
"1","5",651,"ENG"
"2","5",7,"ENG"
"3","5",32,"ENG"
"4","5",110,"ENG"
"5","5",3,"ENG"
"1","6",549,"ENG"
"2","6",19,"ENG"
"3","6",36,"ENG"
"4","6",149,"ENG"
"5","6",11,"ENG"
"6","6",8,"ENG"
"1","7",115,"ENG"
"2","7",11,"ENG"
"3","7",63,"ENG"
"4","7",24,"ENG"
"5","7",18,"ENG"
"6","7",17,"ENG"
"7","7",3,"ENG"
"1","8",208,"ENG"
"2","8",6,"ENG"
"3","8",19,"ENG"
"4","8",77,"ENG"
"5","8",6,"ENG"
"6","8",10,"ENG"
"7","8",8,"ENG"
"1","9",27,"ENG"
"2","9",15,"ENG"
"3","9",17,"ENG"
"4","9",40,"ENG"
"5","9",16,"ENG"
"6","9",14,"ENG"
"7","9",41,"ENG"
"8","9",6,"ENG"
"9","9",1,"ENG"
"1","10",225,"ENG"
"2","10",11,"ENG"
"3","10",21,"ENG"
"4","10",54,"ENG"
"5","10",5,"ENG"
"6","10",15,"ENG"
"7","10",7,"ENG"
"8","10",3,"ENG"
"9","10",3,"ENG"
"1","11",67,"ENG"
"2","11",29,"ENG"
"3","11",22,"ENG"
"4","11",97,"ENG"
"5","11",9,"ENG"
"6","11",10,"ENG"
"7","11",50,"ENG"
"8","11",4,"ENG"
"9","11",3,"ENG"
"10","11",7,"ENG"
"1","12",118,"ENG"
"2","12",12,"ENG"
"3","12",18,"ENG"
"4","12",161,"ENG"
"5","12",50,"ENG"
"6","12",5,"ENG"
"7","12",4,"ENG"
"8","12",19,"ENG"
"9","12",4,"ENG"
"10","12",3,"ENG"
"11","12",8,"ENG"
"12","12",5,"ENG"
"1","13",83,"ENG"
"2","13",6,"ENG"
"3","13",4,"ENG"
"4","13",5,"ENG"
"5","13",1,"ENG"
"6","13",22,"ENG"
"7","13",20,"ENG"
"8","13",12,"ENG"
"9","13",4,"ENG"
"10","13",10,"ENG"
"11","13",6,"ENG"
"12","13",17,"ENG"
"1","14",221,"ENG"
"2","14",3,"ENG"
"3","14",18,"ENG"
"4","14",52,"ENG"
"5","14",6,"ENG"
"6","14",5,"ENG"
"7","14",13,"ENG"
"8","14",2,"ENG"
"9","14",4,"ENG"
"10","14",5,"ENG"
"11","14",4,"ENG"
"12","14",2,"ENG"
"13","14",9,"ENG"
"14","14",1,"ENG"
"1","15",126,"ENG"
"2","15",7,"ENG"
"3","15",17,"ENG"
"4","15",73,"ENG"
"5","15",3,"ENG"
"6","15",4,"ENG"
"7","15",9,"ENG"
"8","15",2,"ENG"
"9","15",4,"ENG"
"10","15",2,"ENG"
"11","15",5,"ENG"
"12","15",3,"ENG"
"13","15",20,"ENG"
"14","15",5,"ENG"
"1","16",5,"ENG"
"2","16",23,"ENG"
"3","16",62,"ENG"
"4","16",9,"ENG"
"5","16",7,"ENG"
"6","16",11,"ENG"
"7","16",36,"ENG"
"8","16",6,"ENG"
"9","16",105,"ENG"
"10","16",9,"ENG"
"11","16",74,"ENG"
"12","16",21,"ENG"
"13","16",68,"ENG"
"14","16",3,"ENG"
"15","16",11,"ENG"
"16","16",2,"ENG"
"1","17",32,"ENG"
"2","17",10,"ENG"
"3","17",12,"ENG"
"4","17",50,"ENG"
"5","17",3,"ENG"
"6","17",23,"ENG"
"7","17",33,"ENG"
"8","17",3,"ENG"
"10","17",4,"ENG"
"12","17",5,"ENG"
"13","17",5,"ENG"
"14","17",3,"ENG"
"15","17",1,"ENG"
"16","17",63,"ENG"
"17","17",1,"ENG"
"1","18",19,"ENG"
"2","18",4,"ENG"
"3","18",17,"ENG"
"4","18",14,"ENG"
"5","18",1,"ENG"
"6","18",15,"ENG"
"7","18",17,"ENG"
"8","18",1,"ENG"
"9","18",2,"ENG"
"10","18",6,"ENG"
"12","18",3,"ENG"
"13","18",2,"ENG"
"14","18",5,"ENG"
"15","18",1,"ENG"
"1","19",22,"ENG"
"2","19",176,"ENG"
"3","19",9,"ENG"
"4","19",34,"ENG"
"5","19",1,"ENG"
"6","19",15,"ENG"
"7","19",2,"ENG"
"8","19",5,"ENG"
"9","19",1,"ENG"
"10","19",6,"ENG"
"12","19",3,"ENG"
"14","19",4,"ENG"
"15","19",4,"ENG"
"16","19",1,"ENG"
"1","20",126,"ENG"
"2","20",4,"ENG"
"3","20",15,"ENG"
"4","20",36,"ENG"
"5","20",5,"ENG"
"6","20",3,"ENG"
"7","20",5,"ENG"
"9","20",5,"ENG"
"10","20",1,"ENG"
"13","20",1,"ENG"
"14","20",2,"ENG"
"15","20",1,"ENG"
"16","20",7,"ENG"
"17","20",3,"ENG"
"1","21",20,"ENG"
"2","21",86,"ENG"
"3","21",9,"ENG"
"4","21",34,"ENG"
"5","21",2,"ENG"
"6","21",3,"ENG"
"7","21",9,"ENG"
"8","21",1,"ENG"
"9","21",1,"ENG"
"10","21",3,"ENG"
"11","21",2,"ENG"
"13","21",4,"ENG"
"15","21",1,"ENG"
"16","21",4,"ENG"
"20","21",1,"ENG"
"1","22",111,"ENG"
"2","22",3,"ENG"
"3","22",11,"ENG"
"4","22",43,"ENG"
"6","22",3,"ENG"
"7","22",6,"ENG"
"8","22",4,"ENG"
"9","22",3,"ENG"
"10","22",4,"ENG"
"11","22",7,"ENG"
"12","22",2,"ENG"
"13","22",2,"ENG"
"14","22",2,"ENG"
"15","22",2,"ENG"
"16","22",1,"ENG"
"17","22",8,"ENG"
"19","22",4,"ENG"
"1","23",16,"ENG"
"2","23",6,"ENG"
"3","23",14,"ENG"
"4","23",27,"ENG"
"5","23",2,"ENG"
"6","23",4,"ENG"
"7","23",14,"ENG"
"8","23",2,"ENG"
"11","23",3,"ENG"
"12","23",7,"ENG"
"13","23",3,"ENG"
"14","23",1,"ENG"
"15","23",2,"ENG"
"16","23",17,"ENG"
"1","24",58,"ENG"
"2","24",5,"ENG"
"3","24",11,"ENG"
"4","24",8,"ENG"
"5","24",2,"ENG"
"6","24",20,"ENG"
"7","24",31,"ENG"
"8","24",1,"ENG"
"9","24",1,"ENG"
"10","24",8,"ENG"
"11","24",2,"ENG"
"13","24",1,"ENG"
"14","24",4,"ENG"
"15","24",2,"ENG"
"16","24",16,"ENG"
"17","24",3,"ENG"
"18","24",1,"ENG"
"19","24",3,"ENG"
"21","24",1,"ENG"
"22","24",1,"ENG"
"23","24",6,"ENG"
"1","25",5,"ENG"
"2","25",2,"ENG"
"3","25",32,"ENG"
"4","25",1,"ENG"
"5","25",1,"ENG"
"6","25",3,"ENG"
"7","25",37,"ENG"
"9","25",41,"ENG"
"11","25",17,"ENG"
"12","25",18,"ENG"
"13","25",26,"ENG"
"14","25",1,"ENG"
"15","25",1,"ENG"
"16","25",1,"ENG"
"17","25",46,"ENG"
"19","25",2,"ENG"
"20","25",1,"ENG"
"23","25",8,"ENG"
"24","25",53,"ENG"
