"from","to","weight","language"
"1","1",39,"EUS"
"1","2",137,"EUS"
"2","2",1,"EUS"
"1","3",84,"EUS"
"1","4",73,"EUS"
"3","4",2,"EUS"
"1","5",104,"EUS"
"1","6",21,"EUS"
"2","6",36,"EUS"
"3","6",203,"EUS"
"4","6",59,"EUS"
"5","6",57,"EUS"
"1","7",21,"EUS"
"2","7",6,"EUS"
"5","7",1,"EUS"
"6","7",27,"EUS"
"1","8",62,"EUS"
"2","8",14,"EUS"
"3","8",8,"EUS"
"4","8",16,"EUS"
"5","8",2,"EUS"
"7","8",9,"EUS"
"8","8",1,"EUS"
"1","9",37,"EUS"
"2","9",82,"EUS"
"3","9",31,"EUS"
"4","9",40,"EUS"
"5","9",18,"EUS"
"6","9",5,"EUS"
"7","9",19,"EUS"
"8","9",2,"EUS"
"9","9",2,"EUS"
"1","10",39,"EUS"
"2","10",50,"EUS"
"3","10",6,"EUS"
"4","10",6,"EUS"
"5","10",3,"EUS"
"6","10",28,"EUS"
"7","10",14,"EUS"
"8","10",3,"EUS"
"9","10",8,"EUS"
"10","10",1,"EUS"
"1","11",61,"EUS"
"2","11",1,"EUS"
"6","11",16,"EUS"
"7","11",3,"EUS"
"8","11",1,"EUS"
"9","11",29,"EUS"
"10","11",4,"EUS"
"1","12",60,"EUS"
"6","12",8,"EUS"
"8","12",13,"EUS"
"9","12",30,"EUS"
"10","12",17,"EUS"
"1","13",37,"EUS"
"2","13",1,"EUS"
"6","13",14,"EUS"
"7","13",1,"EUS"
"9","13",19,"EUS"
"10","13",2,"EUS"
"1","14",21,"EUS"
"2","14",5,"EUS"
"3","14",32,"EUS"
"4","14",62,"EUS"
"5","14",9,"EUS"
"6","14",2,"EUS"
"7","14",10,"EUS"
"8","14",2,"EUS"
"9","14",3,"EUS"
"10","14",19,"EUS"
"11","14",5,"EUS"
"12","14",5,"EUS"
"13","14",24,"EUS"
"1","15",38,"EUS"
"2","15",4,"EUS"
"3","15",3,"EUS"
"4","15",3,"EUS"
"5","15",3,"EUS"
"6","15",4,"EUS"
"7","15",5,"EUS"
"8","15",3,"EUS"
"9","15",2,"EUS"
"10","15",9,"EUS"
"11","15",2,"EUS"
"12","15",1,"EUS"
"13","15",4,"EUS"
"14","15",2,"EUS"
"15","15",1,"EUS"
"1","16",4,"EUS"
"2","16",17,"EUS"
"3","16",21,"EUS"
"4","16",17,"EUS"
"5","16",6,"EUS"
"6","16",2,"EUS"
"7","16",3,"EUS"
"8","16",4,"EUS"
"9","16",30,"EUS"
"10","16",1,"EUS"
"11","16",11,"EUS"
"12","16",9,"EUS"
"13","16",2,"EUS"
"14","16",2,"EUS"
"15","16",8,"EUS"
"1","17",7,"EUS"
"2","17",5,"EUS"
"3","17",4,"EUS"
"4","17",1,"EUS"
"7","17",4,"EUS"
"8","17",4,"EUS"
"9","17",6,"EUS"
"10","17",8,"EUS"
"11","17",3,"EUS"
"12","17",1,"EUS"
"13","17",1,"EUS"
"15","17",2,"EUS"
"16","17",1,"EUS"
"17","17",2,"EUS"
"1","18",17,"EUS"
"2","18",3,"EUS"
"3","18",1,"EUS"
"4","18",3,"EUS"
"5","18",2,"EUS"
"6","18",1,"EUS"
"7","18",5,"EUS"
"8","18",2,"EUS"
"10","18",1,"EUS"
"11","18",6,"EUS"
"13","18",3,"EUS"
"15","18",3,"EUS"
"16","18",2,"EUS"
"17","18",6,"EUS"
"1","19",29,"EUS"
"4","19",1,"EUS"
