"from","to","weight","language"
"1","1",11,"FIN"
"1","2",70,"FIN"
"2","2",2,"FIN"
"1","3",7,"FIN"
"2","3",1,"FIN"
"3","3",1,"FIN"
"1","4",10,"FIN"
"2","4",60,"FIN"
"3","4",11,"FIN"
"1","5",23,"FIN"
"2","5",43,"FIN"
"3","5",2,"FIN"
"4","5",8,"FIN"
"1","6",16,"FIN"
"2","6",1,"FIN"
"4","6",8,"FIN"
"5","6",9,"FIN"
"1","7",9,"FIN"
"2","7",53,"FIN"
"3","7",27,"FIN"
"4","7",9,"FIN"
"5","7",1,"FIN"
"6","7",16,"FIN"
"1","8",27,"FIN"
"3","8",1,"FIN"
"4","8",7,"FIN"
"5","8",8,"FIN"
"1","9",3,"FIN"
"2","9",25,"FIN"
"3","9",7,"FIN"
"4","9",1,"FIN"
"5","9",4,"FIN"
"6","9",2,"FIN"
"7","9",5,"FIN"
"8","9",1,"FIN"
"1","10",7,"FIN"
"2","10",16,"FIN"
"3","10",13,"FIN"
"4","10",2,"FIN"
"5","10",7,"FIN"
"6","10",4,"FIN"
"7","10",3,"FIN"
"8","10",1,"FIN"
"9","10",3,"FIN"
"1","11",14,"FIN"
"2","11",18,"FIN"
"3","11",8,"FIN"
"4","11",2,"FIN"
"6","11",4,"FIN"
"7","11",6,"FIN"
"8","11",3,"FIN"
"9","11",1,"FIN"
"10","11",3,"FIN"
"1","12",2,"FIN"
"3","12",119,"FIN"
"4","12",1,"FIN"
"9","12",1,"FIN"
"10","12",1,"FIN"
"1","13",17,"FIN"
"2","13",38,"FIN"
"3","13",7,"FIN"
"4","13",30,"FIN"
"5","13",3,"FIN"
"6","13",9,"FIN"
"10","13",10,"FIN"
"11","13",4,"FIN"
"12","13",1,"FIN"
"1","14",3,"FIN"
"2","14",4,"FIN"
"5","14",2,"FIN"
"7","14",2,"FIN"
"8","14",3,"FIN"
"9","14",1,"FIN"
"10","14",2,"FIN"
"12","14",1,"FIN"
"13","14",1,"FIN"
"1","15",8,"FIN"
"2","15",7,"FIN"
"3","15",7,"FIN"
"4","15",10,"FIN"
"7","15",4,"FIN"
"13","15",5,"FIN"
"1","16",5,"FIN"
"2","16",8,"FIN"
"3","16",3,"FIN"
"5","16",1,"FIN"
"7","16",1,"FIN"
"8","16",1,"FIN"
"11","16",1,"FIN"
"13","16",3,"FIN"
"14","16",1,"FIN"
"15","16",1,"FIN"
"16","16",1,"FIN"
"1","17",4,"FIN"
"3","17",8,"FIN"
"4","17",3,"FIN"
"5","17",3,"FIN"
"7","17",1,"FIN"
"9","17",6,"FIN"
"10","17",1,"FIN"
"15","17",2,"FIN"
"16","17",2,"FIN"
"1","18",15,"FIN"
"2","18",5,"FIN"
"3","18",1,"FIN"
"4","18",3,"FIN"
"8","18",2,"FIN"
"9","18",11,"FIN"
"10","18",1,"FIN"
"1","19",4,"FIN"
"2","19",19,"FIN"
"5","19",1,"FIN"
"6","19",10,"FIN"
"8","19",10,"FIN"
"9","19",1,"FIN"
"10","19",2,"FIN"
"1","20",4,"FIN"
"2","20",52,"FIN"
"3","20",23,"FIN"
"5","20",3,"FIN"
"6","20",4,"FIN"
"9","20",1,"FIN"
"10","20",1,"FIN"
"12","20",6,"FIN"
"13","20",1,"FIN"
"19","20",1,"FIN"
"1","21",5,"FIN"
"2","21",4,"FIN"
"4","21",2,"FIN"
"5","21",2,"FIN"
"6","21",3,"FIN"
"7","21",7,"FIN"
"8","21",1,"FIN"
"10","21",1,"FIN"
"13","21",1,"FIN"
"1","22",21,"FIN"
"2","22",4,"FIN"
"4","22",5,"FIN"
"5","22",3,"FIN"
"8","22",3,"FIN"
"9","22",2,"FIN"
"11","22",1,"FIN"
"1","23",5,"FIN"
"2","23",23,"FIN"
"3","23",6,"FIN"
"5","23",4,"FIN"
"6","23",4,"FIN"
"7","23",1,"FIN"
"11","23",1,"FIN"
"12","23",1,"FIN"
"17","23",1,"FIN"
"18","23",2,"FIN"
"20","23",1,"FIN"
"1","24",15,"FIN"
"2","24",6,"FIN"
"3","24",2,"FIN"
"4","24",5,"FIN"
"5","24",3,"FIN"
"6","24",1,"FIN"
"8","24",2,"FIN"
"9","24",2,"FIN"
"10","24",3,"FIN"
"11","24",1,"FIN"
"14","24",2,"FIN"
"15","24",3,"FIN"
"16","24",6,"FIN"
"17","24",6,"FIN"
"1","25",26,"FIN"
"2","25",6,"FIN"
"3","25",2,"FIN"
"4","25",4,"FIN"
"5","25",1,"FIN"
"8","25",2,"FIN"
"10","25",4,"FIN"
"11","25",3,"FIN"
"12","25",1,"FIN"
"14","25",1,"FIN"
"15","25",1,"FIN"
"17","25",1,"FIN"
"20","25",1,"FIN"
"21","25",1,"FIN"
"24","25",1,"FIN"
"1","26",6,"FIN"
"2","26",9,"FIN"
"3","26",5,"FIN"
"4","26",9,"FIN"
"6","26",2,"FIN"
"7","26",3,"FIN"
"8","26",2,"FIN"
"9","26",1,"FIN"
"11","26",1,"FIN"
"12","26",2,"FIN"
"13","26",4,"FIN"
"14","26",9,"FIN"
"15","26",2,"FIN"
"19","26",1,"FIN"
"20","26",1,"FIN"
"23","26",1,"FIN"
"25","26",1,"FIN"
"1","27",17,"FIN"
"2","27",6,"FIN"
"4","27",9,"FIN"
"5","27",5,"FIN"
"6","27",1,"FIN"
"8","27",1,"FIN"
"9","27",1,"FIN"
"16","27",1,"FIN"
"18","27",1,"FIN"
"22","27",2,"FIN"
"23","27",1,"FIN"
"24","27",1,"FIN"
"1","28",8,"FIN"
"2","28",26,"FIN"
