"from","to","weight","language"
"1","1",32,"FRA"
"1","2",883,"FRA"
"2","2",3,"FRA"
"1","3",33,"FRA"
"2","3",353,"FRA"
"3","3",6,"FRA"
"1","4",58,"FRA"
"2","4",5,"FRA"
"3","4",28,"FRA"
"1","5",583,"FRA"
"2","5",8,"FRA"
"3","5",328,"FRA"
"4","5",9,"FRA"
"5","5",3,"FRA"
"1","6",45,"FRA"
"2","6",71,"FRA"
"3","6",58,"FRA"
"4","6",107,"FRA"
"5","6",53,"FRA"
"1","7",73,"FRA"
"2","7",5,"FRA"
"3","7",25,"FRA"
"4","7",2,"FRA"
"5","7",4,"FRA"
"6","7",4,"FRA"
"7","7",5,"FRA"
"1","8",179,"FRA"
"2","8",91,"FRA"
"3","8",54,"FRA"
"4","8",77,"FRA"
"5","8",71,"FRA"
"6","8",15,"FRA"
"7","8",107,"FRA"
"8","8",1,"FRA"
"1","9",52,"FRA"
"2","9",24,"FRA"
"3","9",35,"FRA"
"4","9",5,"FRA"
"5","9",8,"FRA"
"6","9",6,"FRA"
"7","9",8,"FRA"
"8","9",64,"FRA"
"9","9",8,"FRA"
"1","10",18,"FRA"
"2","10",15,"FRA"
"3","10",13,"FRA"
"4","10",21,"FRA"
"5","10",13,"FRA"
"6","10",33,"FRA"
"7","10",17,"FRA"
"8","10",62,"FRA"
"9","10",9,"FRA"
"10","10",3,"FRA"
"1","11",20,"FRA"
"2","11",63,"FRA"
"3","11",13,"FRA"
"4","11",23,"FRA"
"5","11",77,"FRA"
"6","11",6,"FRA"
"7","11",9,"FRA"
"8","11",19,"FRA"
"9","11",4,"FRA"
"10","11",8,"FRA"
"11","11",1,"FRA"
"1","12",26,"FRA"
"2","12",14,"FRA"
"3","12",15,"FRA"
"4","12",13,"FRA"
"5","12",13,"FRA"
"6","12",52,"FRA"
"7","12",16,"FRA"
"8","12",31,"FRA"
"9","12",6,"FRA"
"10","12",10,"FRA"
"11","12",11,"FRA"
"12","12",2,"FRA"
"1","13",26,"FRA"
"2","13",3,"FRA"
"3","13",51,"FRA"
"4","13",5,"FRA"
"5","13",25,"FRA"
"6","13",137,"FRA"
"8","13",32,"FRA"
"9","13",37,"FRA"
"10","13",185,"FRA"
"11","13",22,"FRA"
"12","13",6,"FRA"
"13","13",3,"FRA"
"1","14",21,"FRA"
"2","14",15,"FRA"
"3","14",10,"FRA"
"4","14",8,"FRA"
"5","14",10,"FRA"
"6","14",10,"FRA"
"7","14",11,"FRA"
"8","14",26,"FRA"
"9","14",8,"FRA"
"10","14",6,"FRA"
"11","14",4,"FRA"
"12","14",6,"FRA"
"13","14",4,"FRA"
"14","14",5,"FRA"
"1","15",68,"FRA"
"2","15",2,"FRA"
"3","15",61,"FRA"
"4","15",1,"FRA"
"6","15",47,"FRA"
"8","15",13,"FRA"
"9","15",3,"FRA"
"10","15",2,"FRA"
"11","15",20,"FRA"
"12","15",14,"FRA"
"14","15",3,"FRA"
"1","16",2,"FRA"
"2","16",1,"FRA"
"3","16",1,"FRA"
"6","16",990,"FRA"
"8","16",10,"FRA"
"10","16",1,"FRA"
"12","16",2,"FRA"
"13","16",1,"FRA"
"1","17",30,"FRA"
"2","17",9,"FRA"
"3","17",65,"FRA"
"4","17",2,"FRA"
"5","17",19,"FRA"
"6","17",104,"FRA"
"7","17",1,"FRA"
"8","17",29,"FRA"
"9","17",21,"FRA"
"10","17",177,"FRA"
"11","17",14,"FRA"
"12","17",9,"FRA"
"13","17",2,"FRA"
"14","17",3,"FRA"
"1","18",18,"FRA"
"2","18",6,"FRA"
"3","18",2,"FRA"
"4","18",3,"FRA"
"5","18",4,"FRA"
"6","18",11,"FRA"
"7","18",3,"FRA"
"8","18",19,"FRA"
"9","18",6,"FRA"
"10","18",2,"FRA"
"11","18",3,"FRA"
"12","18",3,"FRA"
"13","18",5,"FRA"
"14","18",7,"FRA"
"16","18",1,"FRA"
"17","18",4,"FRA"
"18","18",3,"FRA"
"1","19",14,"FRA"
"2","19",93,"FRA"
"3","19",2,"FRA"
"4","19",136,"FRA"
"5","19",91,"FRA"
"6","19",20,"FRA"
"7","19",127,"FRA"
"8","19",17,"FRA"
"9","19",21,"FRA"
"10","19",13,"FRA"
"11","19",2,"FRA"
"12","19",4,"FRA"
"14","19",5,"FRA"
"15","19",65,"FRA"
"16","19",9,"FRA"
"17","19",3,"FRA"
"1","20",20,"FRA"
"2","20",70,"FRA"
"3","20",6,"FRA"
"4","20",86,"FRA"
"5","20",56,"FRA"
"6","20",25,"FRA"
"7","20",88,"FRA"
"8","20",17,"FRA"
"9","20",18,"FRA"
"10","20",5,"FRA"
"11","20",9,"FRA"
"12","20",3,"FRA"
"13","20",28,"FRA"
"15","20",6,"FRA"
"17","20",31,"FRA"
"18","20",4,"FRA"
"19","20",22,"FRA"
"20","20",1,"FRA"
"1","21",20,"FRA"
"2","21",18,"FRA"
"3","21",17,"FRA"
"4","21",17,"FRA"
"5","21",17,"FRA"
"6","21",58,"FRA"
"7","21",16,"FRA"
"8","21",27,"FRA"
"9","21",11,"FRA"
"10","21",3,"FRA"
"11","21",109,"FRA"
"12","21",15,"FRA"
"13","21",7,"FRA"
"14","21",2,"FRA"
"15","21",139,"FRA"
"17","21",5,"FRA"
"18","21",3,"FRA"
"20","21",5,"FRA"
"21","21",2,"FRA"
"1","22",18,"FRA"
"2","22",164,"FRA"
"3","22",6,"FRA"
"4","22",201,"FRA"
"5","22",66,"FRA"
"6","22",17,"FRA"
"7","22",126,"FRA"
"8","22",18,"FRA"
"9","22",25,"FRA"
"10","22",4,"FRA"
"11","22",5,"FRA"
"12","22",1,"FRA"
"13","22",70,"FRA"
"14","22",4,"FRA"
"15","22",32,"FRA"
"16","22",1,"FRA"
"17","22",41,"FRA"
"19","22",5,"FRA"
"20","22",1,"FRA"
"21","22",3,"FRA"
"1","23",3,"FRA"
"2","23",5,"FRA"
"3","23",5,"FRA"
"4","23",4,"FRA"
"5","23",4,"FRA"
"6","23",50,"FRA"
"7","23",6,"FRA"
"8","23",5,"FRA"
"9","23",1,"FRA"
"10","23",4,"FRA"
"11","23",70,"FRA"
"12","23",6,"FRA"
"13","23",3,"FRA"
"14","23",2,"FRA"
"17","23",1,"FRA"
"18","23",1,"FRA"
"19","23",1,"FRA"
"20","23",2,"FRA"
"21","23",7,"FRA"
"1","24",5,"FRA"
"2","24",99,"FRA"
"3","24",6,"FRA"
"4","24",123,"FRA"
"5","24",38,"FRA"
"6","24",11,"FRA"
"7","24",92,"FRA"
"8","24",12,"FRA"
"9","24",13,"FRA"
"10","24",3,"FRA"
"11","24",2,"FRA"
"12","24",3,"FRA"
"13","24",27,"FRA"
"14","24",2,"FRA"
"15","24",14,"FRA"
"17","24",19,"FRA"
"19","24",7,"FRA"
"20","24",2,"FRA"
"21","24",4,"FRA"
"22","24",1,"FRA"
"24","24",1,"FRA"
"1","25",44,"FRA"
"2","25",19,"FRA"
"3","25",25,"FRA"
"4","25",25,"FRA"
"5","25",8,"FRA"
"6","25",117,"FRA"
"7","25",15,"FRA"
"8","25",10,"FRA"
"9","25",1,"FRA"
"10","25",11,"FRA"
"11","25",53,"FRA"
"12","25",10,"FRA"
"13","25",23,"FRA"
"14","25",6,"FRA"
"15","25",4,"FRA"
"16","25",1,"FRA"
"17","25",14,"FRA"
"18","25",6,"FRA"
"19","25",10,"FRA"
"20","25",12,"FRA"
"22","25",6,"FRA"
"23","25",2,"FRA"
"24","25",3,"FRA"
"1","26",10,"FRA"
"2","26",67,"FRA"
"3","26",2,"FRA"
"4","26",92,"FRA"
"5","26",52,"FRA"
"6","26",13,"FRA"
"7","26",67,"FRA"
"8","26",14,"FRA"
"9","26",24,"FRA"
"10","26",1,"FRA"
"11","26",3,"FRA"
"12","26",2,"FRA"
"13","26",19,"FRA"
"15","26",2,"FRA"
"17","26",19,"FRA"
"19","26",4,"FRA"
"20","26",2,"FRA"
"21","26",4,"FRA"
"22","26",2,"FRA"
"23","26",1,"FRA"
"25","26",2,"FRA"
"1","27",8,"FRA"
"2","27",58,"FRA"
"3","27",5,"FRA"
"4","27",51,"FRA"
"5","27",29,"FRA"
"6","27",11,"FRA"
"7","27",46,"FRA"
"8","27",7,"FRA"
"9","27",36,"FRA"
"10","27",5,"FRA"
"11","27",4,"FRA"
"12","27",10,"FRA"
"13","27",43,"FRA"
"14","27",4,"FRA"
"15","27",10,"FRA"
"17","27",32,"FRA"
"18","27",4,"FRA"
"19","27",1,"FRA"
"20","27",1,"FRA"
"21","27",5,"FRA"
"22","27",2,"FRA"
"23","27",2,"FRA"
"24","27",2,"FRA"
"25","27",2,"FRA"
"26","27",1,"FRA"
"1","28",3,"FRA"
"2","28",2,"FRA"
"3","28",12,"FRA"
"6","28",14,"FRA"
"7","28",1,"FRA"
"8","28",11,"FRA"
"9","28",2,"FRA"
"11","28",20,"FRA"
"12","28",17,"FRA"
"13","28",24,"FRA"
"15","28",55,"FRA"
"17","28",22,"FRA"
"18","28",3,"FRA"
"19","28",1,"FRA"
"20","28",7,"FRA"
"21","28",1,"FRA"
"23","28",153,"FRA"
"25","28",5,"FRA"
"27","28",2,"FRA"
"1","29",116,"FRA"
"2","29",18,"FRA"
"3","29",15,"FRA"
"4","29",44,"FRA"
"5","29",2,"FRA"
"6","29",11,"FRA"
