"from","to","weight","language"
"1","1",18,"ITA"
"1","2",115,"ITA"
"2","2",8,"ITA"
"1","3",19,"ITA"
"2","3",12,"ITA"
"3","3",1,"ITA"
"1","4",33,"ITA"
"2","4",85,"ITA"
"3","4",19,"ITA"
"4","4",3,"ITA"
"1","5",24,"ITA"
"2","5",50,"ITA"
"3","5",37,"ITA"
"4","5",81,"ITA"
"5","5",1,"ITA"
"1","6",41,"ITA"
"2","6",90,"ITA"
"3","6",20,"ITA"
"4","6",2,"ITA"
"5","6",80,"ITA"
"6","6",5,"ITA"
"1","7",27,"ITA"
"2","7",55,"ITA"
"3","7",12,"ITA"
"4","7",3,"ITA"
"5","7",33,"ITA"
"6","7",8,"ITA"
"7","7",2,"ITA"
"1","8",12,"ITA"
"2","8",42,"ITA"
"3","8",11,"ITA"
"4","8",125,"ITA"
"5","8",23,"ITA"
"6","8",154,"ITA"
"7","8",4,"ITA"
"1","9",23,"ITA"
"2","9",9,"ITA"
"3","9",16,"ITA"
"4","9",41,"ITA"
"5","9",57,"ITA"
"6","9",59,"ITA"
"7","9",29,"ITA"
"8","9",10,"ITA"
"1","10",140,"ITA"
"2","10",49,"ITA"
"3","10",34,"ITA"
"4","10",4,"ITA"
"5","10",22,"ITA"
"6","10",2,"ITA"
"7","10",82,"ITA"
"8","10",48,"ITA"
"9","10",73,"ITA"
"10","10",1,"ITA"
"1","11",15,"ITA"
"2","11",34,"ITA"
"3","11",12,"ITA"
"4","11",105,"ITA"
"5","11",24,"ITA"
"6","11",121,"ITA"
"7","11",5,"ITA"
"8","11",1,"ITA"
"9","11",6,"ITA"
"10","11",66,"ITA"
"1","12",15,"ITA"
"2","12",24,"ITA"
"3","12",8,"ITA"
"4","12",10,"ITA"
"5","12",6,"ITA"
"6","12",16,"ITA"
"7","12",2,"ITA"
"8","12",1,"ITA"
"9","12",5,"ITA"
"10","12",5,"ITA"
"11","12",6,"ITA"
"12","12",4,"ITA"
"1","13",41,"ITA"
"2","13",64,"ITA"
"3","13",21,"ITA"
"4","13",14,"ITA"
"5","13",106,"ITA"
"6","13",12,"ITA"
"7","13",6,"ITA"
"8","13",13,"ITA"
"9","13",90,"ITA"
"10","13",3,"ITA"
"11","13",2,"ITA"
"12","13",3,"ITA"
"1","14",27,"ITA"
"2","14",44,"ITA"
"3","14",9,"ITA"
"4","14",3,"ITA"
"5","14",36,"ITA"
"6","14",1,"ITA"
"7","14",4,"ITA"
"8","14",64,"ITA"
"9","14",28,"ITA"
"10","14",1,"ITA"
"11","14",57,"ITA"
"12","14",6,"ITA"
"13","14",4,"ITA"
"1","15",18,"ITA"
"2","15",13,"ITA"
"3","15",3,"ITA"
"4","15",5,"ITA"
"5","15",9,"ITA"
"6","15",2,"ITA"
"7","15",3,"ITA"
"8","15",3,"ITA"
"9","15",8,"ITA"
"10","15",3,"ITA"
"11","15",3,"ITA"
"12","15",4,"ITA"
"13","15",2,"ITA"
"14","15",2,"ITA"
"1","16",15,"ITA"
"2","16",16,"ITA"
"3","16",4,"ITA"
"4","16",2,"ITA"
"5","16",36,"ITA"
"6","16",2,"ITA"
"7","16",4,"ITA"
"8","16",76,"ITA"
"9","16",1,"ITA"
"10","16",3,"ITA"
"11","16",61,"ITA"
"12","16",5,"ITA"
"13","16",2,"ITA"
"1","17",15,"ITA"
"2","17",56,"ITA"
"3","17",4,"ITA"
"5","17",39,"ITA"
"6","17",2,"ITA"
"7","17",2,"ITA"
"8","17",67,"ITA"
"9","17",3,"ITA"
"11","17",55,"ITA"
"12","17",7,"ITA"
"13","17",7,"ITA"
"17","17",1,"ITA"
"1","18",16,"ITA"
"2","18",14,"ITA"
"3","18",30,"ITA"
"4","18",52,"ITA"
"5","18",17,"ITA"
"6","18",49,"ITA"
"7","18",42,"ITA"
"8","18",37,"ITA"
"9","18",25,"ITA"
"10","18",19,"ITA"
"11","18",13,"ITA"
"12","18",3,"ITA"
"13","18",1,"ITA"
"14","18",23,"ITA"
"15","18",7,"ITA"
"16","18",18,"ITA"
"17","18",24,"ITA"
"1","19",3,"ITA"
"2","19",20,"ITA"
"3","19",4,"ITA"
"4","19",4,"ITA"
"5","19",4,"ITA"
"6","19",7,"ITA"
"7","19",3,"ITA"
"9","19",5,"ITA"
"10","19",1,"ITA"
"11","19",4,"ITA"
"12","19",2,"ITA"
"14","19",6,"ITA"
"15","19",3,"ITA"
"16","19",6,"ITA"
"17","19",5,"ITA"
"19","19",1,"ITA"
"1","20",8,"ITA"
"2","20",6,"ITA"
"3","20",10,"ITA"
"4","20",17,"ITA"
"5","20",77,"ITA"
"6","20",16,"ITA"
"7","20",7,"ITA"
"8","20",3,"ITA"
"9","20",1,"ITA"
"10","20",20,"ITA"
"11","20",2,"ITA"
"12","20",2,"ITA"
"13","20",29,"ITA"
"14","20",19,"ITA"
"15","20",2,"ITA"
"16","20",6,"ITA"
"17","20",13,"ITA"
"18","20",5,"ITA"
"19","20",1,"ITA"
"20","20",1,"ITA"
"1","21",81,"ITA"
"2","21",20,"ITA"
"3","21",19,"ITA"
"4","21",2,"ITA"
"5","21",16,"ITA"
"6","21",1,"ITA"
"7","21",50,"ITA"
"8","21",14,"ITA"
"9","21",38,"ITA"
"10","21",3,"ITA"
"11","21",33,"ITA"
"12","21",3,"ITA"
"13","21",3,"ITA"
"18","21",14,"ITA"
"19","21",2,"ITA"
"20","21",5,"ITA"
"1","22",11,"ITA"
"2","22",32,"ITA"
"3","22",14,"ITA"
"4","22",6,"ITA"
"5","22",81,"ITA"
"6","22",9,"ITA"
"7","22",15,"ITA"
"8","22",2,"ITA"
"9","22",86,"ITA"
"10","22",5,"ITA"
"11","22",8,"ITA"
"12","22",2,"ITA"
"13","22",63,"ITA"
"14","22",2,"ITA"
"15","22",5,"ITA"
"16","22",5,"ITA"
"17","22",6,"ITA"
"18","22",4,"ITA"
"19","22",1,"ITA"
"20","22",3,"ITA"
"21","22",5,"ITA"
"1","23",13,"ITA"
"2","23",14,"ITA"
"3","23",12,"ITA"
"4","23",6,"ITA"
"5","23",16,"ITA"
"6","23",3,"ITA"
"7","23",6,"ITA"
"8","23",6,"ITA"
"9","23",16,"ITA"
"10","23",30,"ITA"
"11","23",3,"ITA"
"12","23",2,"ITA"
"13","23",6,"ITA"
"14","23",5,"ITA"
"15","23",1,"ITA"
"16","23",1,"ITA"
"17","23",1,"ITA"
"18","23",11,"ITA"
"19","23",2,"ITA"
"20","23",2,"ITA"
"21","23",12,"ITA"
"22","23",5,"ITA"
"1","24",9,"ITA"
"2","24",18,"ITA"
"3","24",8,"ITA"
"4","24",17,"ITA"
"5","24",3,"ITA"
"6","24",17,"ITA"
"7","24",11,"ITA"
"8","24",12,"ITA"
"9","24",18,"ITA"
"10","24",13,"ITA"
"11","24",1,"ITA"
"12","24",1,"ITA"
"13","24",6,"ITA"
"14","24",4,"ITA"
"15","24",4,"ITA"
"16","24",7,"ITA"
"17","24",6,"ITA"
"18","24",4,"ITA"
"19","24",1,"ITA"
"20","24",13,"ITA"
"21","24",8,"ITA"
"22","24",24,"ITA"
"23","24",7,"ITA"
"1","25",18,"ITA"
"2","25",17,"ITA"
"3","25",6,"ITA"
"4","25",8,"ITA"
"5","25",24,"ITA"
"7","25",16,"ITA"
"8","25",5,"ITA"
"10","25",4,"ITA"
"11","25",1,"ITA"
"12","25",3,"ITA"
"13","25",24,"ITA"
"14","25",1,"ITA"
"15","25",3,"ITA"
"16","25",13,"ITA"
"17","25",22,"ITA"
"18","25",6,"ITA"
"20","25",1,"ITA"
"21","25",5,"ITA"
"22","25",45,"ITA"
"23","25",5,"ITA"
"24","25",6,"ITA"
"1","26",5,"ITA"
"2","26",12,"ITA"
"3","26",6,"ITA"
"4","26",5,"ITA"
"5","26",6,"ITA"
"6","26",3,"ITA"
