"from","to","weight","language"
"1","1",50,"SPA"
"1","2",1138,"SPA"
"2","2",6,"SPA"
"1","3",169,"SPA"
"2","3",303,"SPA"
"3","3",2,"SPA"
"1","4",119,"SPA"
"2","4",18,"SPA"
"3","4",302,"SPA"
"4","4",6,"SPA"
"1","5",62,"SPA"
"2","5",466,"SPA"
"3","5",141,"SPA"
"4","5",525,"SPA"
"5","5",7,"SPA"
"1","6",40,"SPA"
"2","6",450,"SPA"
"3","6",101,"SPA"
"4","6",17,"SPA"
"5","6",12,"SPA"
"6","6",15,"SPA"
"1","7",163,"SPA"
"2","7",162,"SPA"
"3","7",104,"SPA"
"4","7",159,"SPA"
"5","7",85,"SPA"
"6","7",36,"SPA"
"7","7",4,"SPA"
"1","8",479,"SPA"
"2","8",3,"SPA"
"3","8",179,"SPA"
"4","8",8,"SPA"
"5","8",131,"SPA"
"6","8",217,"SPA"
"7","8",76,"SPA"
"8","8",2,"SPA"
"1","9",38,"SPA"
"2","9",42,"SPA"
"3","9",318,"SPA"
"4","9",22,"SPA"
"5","9",51,"SPA"
"6","9",45,"SPA"
"7","9",68,"SPA"
"8","9",28,"SPA"
"9","9",1,"SPA"
"1","10",29,"SPA"
"2","10",189,"SPA"
"3","10",34,"SPA"
"4","10",219,"SPA"
"5","10",10,"SPA"
"6","10",6,"SPA"
"7","10",52,"SPA"
"8","10",80,"SPA"
"9","10",15,"SPA"
"10","10",1,"SPA"
"1","11",23,"SPA"
"2","11",34,"SPA"
"3","11",11,"SPA"
"4","11",20,"SPA"
"5","11",11,"SPA"
"6","11",3,"SPA"
"7","11",37,"SPA"
"8","11",13,"SPA"
"9","11",7,"SPA"
"10","11",2,"SPA"
"11","11",8,"SPA"
"1","12",327,"SPA"
"2","12",3,"SPA"
"3","12",101,"SPA"
"4","12",2,"SPA"
"5","12",137,"SPA"
"6","12",141,"SPA"
"7","12",58,"SPA"
"8","12",4,"SPA"
"9","12",12,"SPA"
"10","12",61,"SPA"
"11","12",11,"SPA"
"1","13",172,"SPA"
"2","13",1,"SPA"
"3","13",40,"SPA"
"4","13",3,"SPA"
"5","13",128,"SPA"
"6","13",72,"SPA"
"7","13",42,"SPA"
"8","13",1,"SPA"
"9","13",14,"SPA"
"10","13",92,"SPA"
"11","13",1,"SPA"
"13","13",2,"SPA"
"1","14",29,"SPA"
"2","14",106,"SPA"
"3","14",94,"SPA"
"4","14",88,"SPA"
"5","14",10,"SPA"
"6","14",23,"SPA"
"7","14",26,"SPA"
"8","14",45,"SPA"
"9","14",9,"SPA"
"10","14",12,"SPA"
"11","14",3,"SPA"
"12","14",24,"SPA"
"13","14",12,"SPA"
"14","14",2,"SPA"
"1","15",15,"SPA"
"2","15",136,"SPA"
"3","15",24,"SPA"
"4","15",149,"SPA"
"5","15",8,"SPA"
"6","15",11,"SPA"
"7","15",36,"SPA"
"8","15",34,"SPA"
"9","15",21,"SPA"
"10","15",3,"SPA"
"11","15",1,"SPA"
"12","15",22,"SPA"
"13","15",18,"SPA"
"15","15",1,"SPA"
"1","16",16,"SPA"
"2","16",5,"SPA"
"3","16",36,"SPA"
"4","16",11,"SPA"
"5","16",5,"SPA"
"6","16",3,"SPA"
"7","16",23,"SPA"
"8","16",2,"SPA"
"9","16",10,"SPA"
"10","16",3,"SPA"
"11","16",6,"SPA"
"12","16",1,"SPA"
"13","16",1,"SPA"
"14","16",7,"SPA"
"15","16",2,"SPA"
"1","17",166,"SPA"
"2","17",3,"SPA"
"3","17",23,"SPA"
"4","17",2,"SPA"
"5","17",97,"SPA"
"6","17",48,"SPA"
"7","17",29,"SPA"
"8","17",2,"SPA"
"9","17",8,"SPA"
"10","17",59,"SPA"
"11","17",1,"SPA"
"13","17",2,"SPA"
"14","17",11,"SPA"
"15","17",17,"SPA"
"16","17",1,"SPA"
"17","17",1,"SPA"
"1","18",13,"SPA"
"2","18",13,"SPA"
"3","18",159,"SPA"
"4","18",15,"SPA"
