"from","to","weight","language"
"1","1",35,"SRP"
"1","2",154,"SRP"
"1","3",73,"SRP"
"2","3",174,"SRP"
"3","3",15,"SRP"
"1","4",176,"SRP"
"2","4",358,"SRP"
"3","4",42,"SRP"
"4","4",10,"SRP"
"1","5",86,"SRP"
"2","5",84,"SRP"
"3","5",17,"SRP"
"4","5",18,"SRP"
"5","5",3,"SRP"
"1","6",83,"SRP"
"2","6",5,"SRP"
"3","6",92,"SRP"
"4","6",319,"SRP"
"5","6",48,"SRP"
"1","7",85,"SRP"
"2","7",57,"SRP"
"3","7",18,"SRP"
"4","7",11,"SRP"
"5","7",6,"SRP"
"6","7",18,"SRP"
"7","7",1,"SRP"
"1","8",70,"SRP"
"2","8",2,"SRP"
"3","8",54,"SRP"
"4","8",79,"SRP"
"5","8",27,"SRP"
"6","8",62,"SRP"
"7","8",19,"SRP"
"8","8",1,"SRP"
"1","9",28,"SRP"
"2","9",28,"SRP"
"3","9",8,"SRP"
"4","9",6,"SRP"
"5","9",3,"SRP"
"6","9",16,"SRP"
"7","9",1,"SRP"
"8","9",11,"SRP"
"9","9",1,"SRP"
"1","10",27,"SRP"
"2","10",19,"SRP"
"3","10",15,"SRP"
"4","10",21,"SRP"
"5","10",18,"SRP"
"6","10",6,"SRP"
"7","10",16,"SRP"
"8","10",10,"SRP"
"9","10",9,"SRP"
"10","10",1,"SRP"
"1","11",52,"SRP"
"2","11",29,"SRP"
"3","11",20,"SRP"
"4","11",8,"SRP"
"5","11",8,"SRP"
"6","11",25,"SRP"
"7","11",7,"SRP"
"8","11",5,"SRP"
"9","11",4,"SRP"
"10","11",8,"SRP"
"1","12",23,"SRP"
"2","12",20,"SRP"
"3","12",4,"SRP"
"4","12",1,"SRP"
"5","12",3,"SRP"
"6","12",8,"SRP"
"7","12",3,"SRP"
"8","12",11,"SRP"
"9","12",2,"SRP"
"10","12",4,"SRP"
"11","12",9,"SRP"
"12","12",1,"SRP"
"1","13",22,"SRP"
"2","13",16,"SRP"
"3","13",4,"SRP"
"4","13",2,"SRP"
"5","13",1,"SRP"
"6","13",13,"SRP"
"7","13",1,"SRP"
"8","13",2,"SRP"
"9","13",4,"SRP"
"10","13",4,"SRP"
"11","13",1,"SRP"
"1","14",13,"SRP"
"2","14",1,"SRP"
"3","14",18,"SRP"
"4","14",96,"SRP"
"5","14",10,"SRP"
"6","14",65,"SRP"
"7","14",5,"SRP"
"9","14",4,"SRP"
"10","14",2,"SRP"
"11","14",3,"SRP"
"12","14",1,"SRP"
"13","14",2,"SRP"
"1","15",19,"SRP"
"2","15",86,"SRP"
"3","15",4,"SRP"
"4","15",2,"SRP"
"5","15",13,"SRP"
"6","15",47,"SRP"
"7","15",5,"SRP"
"8","15",74,"SRP"
"9","15",2,"SRP"
"10","15",5,"SRP"
"11","15",4,"SRP"
"12","15",1,"SRP"
"14","15",21,"SRP"
"1","16",33,"SRP"
"2","16",5,"SRP"
"3","16",5,"SRP"
"4","16",30,"SRP"
"5","16",4,"SRP"
"6","16",34,"SRP"
"7","16",2,"SRP"
"8","16",1,"SRP"
"9","16",2,"SRP"
"10","16",10,"SRP"
"11","16",3,"SRP"
"12","16",1,"SRP"
"13","16",1,"SRP"
"14","16",1,"SRP"
"15","16",6,"SRP"
"1","17",129,"SRP"
"2","17",23,"SRP"
"3","17",8,"SRP"
"4","17",14,"SRP"
"5","17",3,"SRP"
"6","17",8,"SRP"
"7","17",5,"SRP"
"8","17",2,"SRP"
"9","17",1,"SRP"
"10","17",5,"SRP"
"11","17",1,"SRP"
"14","17",1,"SRP"
"1","18",6,"SRP"
"2","18",92,"SRP"
"3","18",9,"SRP"
"4","18",4,"SRP"
"5","18",1,"SRP"
"6","18",22,"SRP"
"8","18",23,"SRP"
"10","18",1,"SRP"
"14","18",7,"SRP"
"16","18",1,"SRP"
"17","18",25,"SRP"
"1","19",60,"SRP"
"2","19",22,"SRP"
"3","19",7,"SRP"
"4","19",7,"SRP"
"5","19",4,"SRP"
"6","19",18,"SRP"
"7","19",3,"SRP"
"8","19",16,"SRP"
"11","19",3,"SRP"
"13","19",1,"SRP"
"14","19",3,"SRP"
"16","19",7,"SRP"
"17","19",2,"SRP"
"18","19",1,"SRP"
"1","20",22,"SRP"
"2","20",65,"SRP"
"3","20",3,"SRP"
"4","20",10,"SRP"
"5","20",4,"SRP"
"6","20",31,"SRP"
"7","20",5,"SRP"
"8","20",13,"SRP"
"9","20",1,"SRP"
"10","20",10,"SRP"
"11","20",1,"SRP"
"12","20",1,"SRP"
"14","20",4,"SRP"
"16","20",1,"SRP"
"17","20",1,"SRP"
"19","20",3,"SRP"
"1","21",39,"SRP"
"2","21",87,"SRP"
"3","21",11,"SRP"
"4","21",30,"SRP"
"5","21",10,"SRP"
"6","21",13,"SRP"
"7","21",17,"SRP"
"8","21",11,"SRP"
"9","21",1,"SRP"
"10","21",14,"SRP"
"11","21",2,"SRP"
"13","21",2,"SRP"
"14","21",7,"SRP"
"15","21",3,"SRP"
"16","21",4,"SRP"
"18","21",20,"SRP"
"19","21",4,"SRP"
"20","21",3,"SRP"
"1","22",13,"SRP"
"2","22",11,"SRP"
"3","22",4,"SRP"
"4","22",3,"SRP"
"5","22",4,"SRP"
"6","22",1,"SRP"
"7","22",1,"SRP"
"8","22",1,"SRP"
"9","22",2,"SRP"
"10","22",1,"SRP"
"11","22",2,"SRP"
"12","22",1,"SRP"
"15","22",2,"SRP"
"19","22",1,"SRP"
"20","22",1,"SRP"
"22","22",1,"SRP"
"1","23",28,"SRP"
"2","23",59,"SRP"
"3","23",19,"SRP"
"4","23",5,"SRP"
"5","23",6,"SRP"
"6","23",14,"SRP"
"7","23",4,"SRP"
"8","23",19,"SRP"
"9","23",7,"SRP"
"10","23",5,"SRP"
"11","23",3,"SRP"
"12","23",2,"SRP"
"13","23",7,"SRP"
"14","23",21,"SRP"
"15","23",1,"SRP"
"16","23",3,"SRP"
"17","23",2,"SRP"
"18","23",1,"SRP"
"19","23",2,"SRP"
"23","23",1,"SRP"
"1","24",11,"SRP"
"2","24",39,"SRP"
"3","24",5,"SRP"
"5","24",5,"SRP"
"6","24",20,"SRP"
"7","24",5,"SRP"
"8","24",44,"SRP"
"10","24",1,"SRP"
"11","24",2,"SRP"
"12","24",3,"SRP"
"13","24",1,"SRP"
"14","24",14,"SRP"
"16","24",3,"SRP"
"17","24",1,"SRP"
"22","24",1,"SRP"
"1","25",21,"SRP"
"2","25",3,"SRP"
"3","25",17,"SRP"
"4","25",2,"SRP"
"5","25",5,"SRP"
"7","25",3,"SRP"
"8","25",1,"SRP"
"10","25",2,"SRP"
"12","25",1,"SRP"
"13","25",1,"SRP"
"14","25",79,"SRP"
"17","25",3,"SRP"
"21","25",4,"SRP"
"23","25",2,"SRP"
"1","26",7,"SRP"
"2","26",1,"SRP"
"3","26",7,"SRP"
"4","26",13,"SRP"
"5","26",4,"SRP"
"6","26",8,"SRP"
"10","26",2,"SRP"
"11","26",1,"SRP"
"15","26",4,"SRP"
"18","26",1,"SRP"
"19","26",9,"SRP"
"21","26",11,"SRP"
"22","26",1,"SRP"
"23","26",1,"SRP"
"24","26",2,"SRP"
"1","27",1,"SRP"
"2","27",1,"SRP"
"3","27",3,"SRP"
"4","27",54,"SRP"
"5","27",4,"SRP"
"6","27",35,"SRP"
"7","27",2,"SRP"
"9","27",1,"SRP"
"12","27",1,"SRP"
"15","27",8,"SRP"
"16","27",23,"SRP"
"18","27",6,"SRP"
"19","27",1,"SRP"
"20","27",40,"SRP"
"21","27",7,"SRP"
"23","27",2,"SRP"
"24","27",3,"SRP"
"25","27",1,"SRP"
"1","28",12,"SRP"
"2","28",72,"SRP"
"3","28",6,"SRP"
"4","28",1,"SRP"
"5","28",2,"SRP"
"6","28",23,"SRP"
"7","28",2,"SRP"
"8","28",19,"SRP"
"9","28",2,"SRP"
"10","28",1,"SRP"
"14","28",11,"SRP"
"16","28",1,"SRP"
"17","28",1,"SRP"
"19","28",4,"SRP"
"20","28",1,"SRP"
"21","28",3,"SRP"
"23","28",2,"SRP"
"27","28",6,"SRP"
"1","29",6,"SRP"
"2","29",50,"SRP"
"3","29",5,"SRP"
"4","29",1,"SRP"
"5","29",3,"SRP"
"6","29",24,"SRP"
"7","29",2,"SRP"
"8","29",38,"SRP"
"9","29",1,"SRP"
"10","29",3,"SRP"
"11","29",3,"SRP"
"12","29",3,"SRP"
"14","29",11,"SRP"
"16","29",2,"SRP"
"22","29",2,"SRP"
"26","29",3,"SRP"
"27","29",3,"SRP"
"1","30",15,"SRP"
"2","30",21,"SRP"
"3","30",6,"SRP"
"4","30",12,"SRP"
"5","30",11,"SRP"
"6","30",12,"SRP"
"7","30",15,"SRP"
"8","30",9,"SRP"
"9","30",7,"SRP"
"10","30",8,"SRP"
"11","30",1,"SRP"
"12","30",2,"SRP"
"13","30",8,"SRP"
"14","30",6,"SRP"
"15","30",3,"SRP"
"18","30",12,"SRP"
"19","30",2,"SRP"
"20","30",2,"SRP"
"21","30",12,"SRP"
"24","30",2,"SRP"
"25","30",2,"SRP"
"26","30",1,"SRP"
"27","30",2,"SRP"
"28","30",3,"SRP"
"1","31",10,"SRP"
"2","31",1,"SRP"
"3","31",10,"SRP"
"4","31",28,"SRP"
"5","31",4,"SRP"
"6","31",19,"SRP"
"12","31",1,"SRP"
"13","31",1,"SRP"
"16","31",1,"SRP"
"17","31",2,"SRP"
"18","31",11,"SRP"
"19","31",1,"SRP"
"20","31",5,"SRP"
"21","31",4,"SRP"
"22","31",1,"SRP"
"23","31",3,"SRP"
"24","31",3,"SRP"
"28","31",4,"SRP"
"1","32",28,"SRP"
"2","32",15,"SRP"
"3","32",6,"SRP"
"4","32",1,"SRP"
"6","32",6,"SRP"
"7","32",1,"SRP"
"8","32",2,"SRP"
"9","32",1,"SRP"
"10","32",8,"SRP"
"11","32",3,"SRP"
"14","32",1,"SRP"
"15","32",1,"SRP"
"16","32",2,"SRP"
"21","32",1,"SRP"
"22","32",1,"SRP"
"23","32",1,"SRP"
"24","32",2,"SRP"
"25","32",2,"SRP"
"1","33",15,"SRP"
"2","33",5,"SRP"
"3","33",1,"SRP"
"4","33",1,"SRP"
"6","33",3,"SRP"
"7","33",1,"SRP"
"8","33",5,"SRP"
"14","33",11,"SRP"
"15","33",1,"SRP"
"19","33",5,"SRP"
"20","33",2,"SRP"
"21","33",1,"SRP"
"22","33",1,"SRP"
"24","33",1,"SRP"
"25","33",1,"SRP"
"26","33",1,"SRP"
"1","34",9,"SRP"
"2","34",7,"SRP"
"3","34",12,"SRP"
"5","34",3,"SRP"
"6","34",2,"SRP"
"7","34",4,"SRP"
"9","34",1,"SRP"
"10","34",3,"SRP"
"11","34",2,"SRP"
"12","34",7,"SRP"
"13","34",2,"SRP"
"17","34",1,"SRP"
"19","34",1,"SRP"
"25","34",1,"SRP"
"31","34",2,"SRP"
"32","34",3,"SRP"
"33","34",1,"SRP"
"1","35",18,"SRP"
"2","35",6,"SRP"
"3","35",9,"SRP"
"4","35",1,"SRP"
"5","35",1,"SRP"
"6","35",1,"SRP"
"7","35",4,"SRP"
"8","35",3,"SRP"
"9","35",2,"SRP"
"10","35",9,"SRP"
"11","35",3,"SRP"
"12","35",9,"SRP"
"13","35",1,"SRP"
"14","35",2,"SRP"
"15","35",1,"SRP"
"17","35",1,"SRP"
"18","35",1,"SRP"
"19","35",2,"SRP"
"23","35",1,"SRP"
"27","35",1,"SRP"
"1","36",15,"SRP"
"2","36",11,"SRP"
"3","36",4,"SRP"
"4","36",5,"SRP"
