"from","to","weight","language"
"1","1",4,"TUR"
"1","2",20,"TUR"
"2","2",5,"TUR"
"1","3",24,"TUR"
"2","3",19,"TUR"
"3","3",1,"TUR"
"1","4",15,"TUR"
"2","4",17,"TUR"
"3","4",36,"TUR"
"4","4",6,"TUR"
"1","5",9,"TUR"
"2","5",28,"TUR"
"3","5",20,"TUR"
"4","5",6,"TUR"
"5","5",4,"TUR"
"1","6",12,"TUR"
"2","6",16,"TUR"
"3","6",10,"TUR"
"4","6",1,"TUR"
"5","6",14,"TUR"
"6","6",3,"TUR"
"1","7",14,"TUR"
"2","7",8,"TUR"
"3","7",6,"TUR"
"4","7",3,"TUR"
"5","7",9,"TUR"
"1","8",8,"TUR"
"2","8",13,"TUR"
"3","8",4,"TUR"
"4","8",11,"TUR"
"5","8",5,"TUR"
"6","8",5,"TUR"
"7","8",2,"TUR"
"1","9",16,"TUR"
"2","9",6,"TUR"
"3","9",5,"TUR"
"4","9",18,"TUR"
"5","9",5,"TUR"
"6","9",2,"TUR"
"7","9",5,"TUR"
"8","9",27,"TUR"
"9","9",1,"TUR"
"1","10",4,"TUR"
"2","10",9,"TUR"
"3","10",4,"TUR"
"4","10",16,"TUR"
"5","10",3,"TUR"
"8","10",1,"TUR"
"9","10",1,"TUR"
"1","11",6,"TUR"
"2","11",1,"TUR"
"3","11",5,"TUR"
"5","11",3,"TUR"
"7","11",2,"TUR"
"9","11",1,"TUR"
"1","12",16,"TUR"
"2","12",10,"TUR"
"3","12",4,"TUR"
"4","12",3,"TUR"
"5","12",1,"TUR"
"6","12",1,"TUR"
"7","12",5,"TUR"
"11","12",1,"TUR"
"1","13",5,"TUR"
"2","13",4,"TUR"
"3","13",1,"TUR"
"4","13",2,"TUR"
"5","13",3,"TUR"
"6","13",4,"TUR"
"7","13",1,"TUR"
"8","13",16,"TUR"
"10","13",3,"TUR"
"11","13",1,"TUR"
"12","13",4,"TUR"
"1","14",4,"TUR"
"2","14",3,"TUR"
"3","14",5,"TUR"
"4","14",5,"TUR"
"5","14",1,"TUR"
"6","14",1,"TUR"
"7","14",2,"TUR"
"8","14",1,"TUR"
"9","14",1,"TUR"
"12","14",1,"TUR"
"13","14",1,"TUR"
"1","15",1,"TUR"
"3","15",3,"TUR"
"4","15",1,"TUR"
"5","15",2,"TUR"
"9","15",4,"TUR"
"13","15",2,"TUR"
"14","15",1,"TUR"
"15","15",1,"TUR"
"1","16",6,"TUR"
"2","16",5,"TUR"
"3","16",2,"TUR"
"4","16",2,"TUR"
"5","16",2,"TUR"
"6","16",12,"TUR"
"7","16",1,"TUR"
"9","16",2,"TUR"
"10","16",1,"TUR"
"11","16",2,"TUR"
"15","16",1,"TUR"
"16","16",1,"TUR"
"1","17",9,"TUR"
"2","17",9,"TUR"
"3","17",4,"TUR"
"4","17",2,"TUR"
"5","17",28,"TUR"
"6","17",2,"TUR"
"7","17",6,"TUR"
"10","17",2,"TUR"
"11","17",37,"TUR"
"12","17",2,"TUR"
"14","17",1,"TUR"
"15","17",2,"TUR"
"1","18",1,"TUR"
"2","18",10,"TUR"
"3","18",6,"TUR"
"4","18",2,"TUR"
"5","18",2,"TUR"
"6","18",3,"TUR"
"7","18",3,"TUR"
"9","18",2,"TUR"
"12","18",1,"TUR"
"13","18",1,"TUR"
"14","18",1,"TUR"
"15","18",2,"TUR"
"17","18",1,"TUR"
"1","19",1,"TUR"
"2","19",1,"TUR"
"3","19",3,"TUR"
"4","19",4,"TUR"
"7","19",1,"TUR"
"8","19",2,"TUR"
"12","19",1,"TUR"
"13","19",2,"TUR"
"15","19",1,"TUR"
"16","19",2,"TUR"
"1","20",3,"TUR"
"2","20",4,"TUR"
"3","20",8,"TUR"
"5","20",7,"TUR"
"7","20",1,"TUR"
"9","20",1,"TUR"
"12","20",1,"TUR"
"15","20",3,"TUR"
"16","20",1,"TUR"
"17","20",1,"TUR"
"1","21",2,"TUR"
"2","21",4,"TUR"
"3","21",19,"TUR"
"4","21",3,"TUR"
"5","21",1,"TUR"
"6","21",1,"TUR"
"8","21",3,"TUR"
"10","21",1,"TUR"
"12","21",2,"TUR"
"16","21",1,"TUR"
"17","21",1,"TUR"
"19","21",1,"TUR"
"1","22",4,"TUR"
"3","22",3,"TUR"
"4","22",2,"TUR"
"5","22",7,"TUR"
"6","22",10,"TUR"
"7","22",1,"TUR"
"8","22",2,"TUR"
"9","22",2,"TUR"
"10","22",3,"TUR"
"11","22",2,"TUR"
"14","22",2,"TUR"
"15","22",2,"TUR"
"16","22",4,"TUR"
"20","22",1,"TUR"
"21","22",24,"TUR"
"22","22",6,"TUR"
"1","23",1,"TUR"
"3","23",1,"TUR"
"4","23",2,"TUR"
"5","23",2,"TUR"
"7","23",1,"TUR"
"14","23",2,"TUR"
"17","23",2,"TUR"
"19","23",2,"TUR"
"20","23",1,"TUR"
"1","24",2,"TUR"
"2","24",2,"TUR"
"3","24",2,"TUR"
"4","24",14,"TUR"
"5","24",2,"TUR"
"8","24",1,"TUR"
"9","24",40,"TUR"
"17","24",1,"TUR"
"18","24",1,"TUR"
"1","25",11,"TUR"
"2","25",14,"TUR"
"3","25",3,"TUR"
"4","25",4,"TUR"
"5","25",3,"TUR"
"10","25",2,"TUR"
"13","25",3,"TUR"
"16","25",3,"TUR"
"18","25",1,"TUR"
"22","25",3,"TUR"
"1","26",4,"TUR"
"2","26",3,"TUR"
"3","26",3,"TUR"
"4","26",3,"TUR"
"7","26",2,"TUR"
"9","26",2,"TUR"
"10","26",1,"TUR"
"14","26",28,"TUR"
"15","26",1,"TUR"
"16","26",1,"TUR"
"17","26",5,"TUR"
"23","26",1,"TUR"
"25","26",1,"TUR"
"1","27",2,"TUR"
"2","27",7,"TUR"
"3","27",1,"TUR"
"4","27",1,"TUR"
"5","27",2,"TUR"
"6","27",2,"TUR"
"10","27",7,"TUR"
"11","27",3,"TUR"
"15","27",1,"TUR"
"16","27",1,"TUR"
"17","27",1,"TUR"
"18","27",1,"TUR"
"19","27",2,"TUR"
"20","27",2,"TUR"
"21","27",1,"TUR"
"24","27",2,"TUR"
"1","28",3,"TUR"
"2","28",7,"TUR"
"3","28",1,"TUR"
"4","28",3,"TUR"
"5","28",6,"TUR"
"6","28",3,"TUR"
"7","28",1,"TUR"
"8","28",2,"TUR"
"9","28",1,"TUR"
"12","28",3,"TUR"
"17","28",2,"TUR"
"25","28",2,"TUR"
"1","29",2,"TUR"
"2","29",3,"TUR"
"3","29",1,"TUR"
"4","29",2,"TUR"
"5","29",2,"TUR"
"6","29",1,"TUR"
"8","29",1,"TUR"
"10","29",1,"TUR"
"14","29",1,"TUR"
"28","29",3,"TUR"
"1","30",4,"TUR"
"3","30",1,"TUR"
"4","30",5,"TUR"
"7","30",3,"TUR"
"8","30",1,"TUR"
"11","30",1,"TUR"
"12","30",1,"TUR"
"15","30",1,"TUR"
"18","30",1,"TUR"
"20","30",1,"TUR"
"30","30",1,"TUR"
"1","31",7,"TUR"
"2","31",24,"TUR"
"4","31",4,"TUR"
"5","31",3,"TUR"
"6","31",3,"TUR"
"7","31",1,"TUR"
"8","31",5,"TUR"
"9","31",3,"TUR"
"10","31",2,"TUR"
"12","31",2,"TUR"
"13","31",22,"TUR"
"17","31",4,"TUR"
"21","31",2,"TUR"
"22","31",1,"TUR"
"28","31",1,"TUR"
"29","31",1,"TUR"
"1","32",1,"TUR"
"3","32",1,"TUR"
"4","32",3,"TUR"
"5","32",4,"TUR"
"6","32",1,"TUR"
"7","32",3,"TUR"
"9","32",2,"TUR"
"10","32",3,"TUR"
"21","32",3,"TUR"
"24","32",1,"TUR"
"1","33",10,"TUR"
"4","33",4,"TUR"
"5","33",3,"TUR"
"6","33",1,"TUR"
"7","33",3,"TUR"
"10","33",1,"TUR"
"15","33",1,"TUR"
"16","33",1,"TUR"
"17","33",1,"TUR"
"18","33",2,"TUR"
"20","33",3,"TUR"
"30","33",3,"TUR"
"33","33",5,"TUR"
"1","34",8,"TUR"
"2","34",23,"TUR"
"3","34",3,"TUR"
"4","34",7,"TUR"
"5","34",3,"TUR"
"6","34",6,"TUR"
"7","34",2,"TUR"
"9","34",1,"TUR"
"11","34",3,"TUR"
"12","34",2,"TUR"
"13","34",1,"TUR"
"14","34",2,"TUR"
"15","34",1,"TUR"
"19","34",2,"TUR"
"20","34",1,"TUR"
"21","34",1,"TUR"
"24","34",1,"TUR"
"1","35",3,"TUR"
"3","35",1,"TUR"
"4","35",3,"TUR"
"5","35",2,"TUR"
"6","35",2,"TUR"
"7","35",2,"TUR"
"11","35",3,"TUR"
"15","35",8,"TUR"
