"wordID","word","frequency","language"
1,"de",5667,"CAT"
2,"la",4217,"CAT"
3,"a",4025,"CAT"
4,"que",3368,"CAT"
5,"i",2867,"CAT"
6,"el",2507,"CAT"
7,"l",2139,"CAT"
8,"d",1737,"CAT"
9,"ha",1535,"CAT"
10,"en",1528,"CAT"
11,"per",1508,"CAT"
12,"les",1446,"CAT"
13,"un",1363,"CAT"
14,"del",1336,"CAT"
15,"amb",1328,"CAT"
16,"els",1206,"CAT"
17,"més",1065,"CAT"
18,"una",1043,"CAT"
19,"al",962,"CAT"
20,"no",859,"CAT"
21,"es",762,"CAT"
22,"com",758,"CAT"
23,"és",754,"CAT"
24,"va",741,"CAT"
25,"s",712,"CAT"
26,"aquest",692,"CAT"
27,"dels",573,"CAT"
28,"hi",565,"CAT"
29,"ara",487,"CAT"
30,"aquesta",465,"CAT"
31,"han",426,"CAT"
32,"així",378,"CAT"
33,"també",370,"CAT"
34,"això",335,"CAT"
35,"però",298,"CAT"
36,"se",292,"CAT"
37,"ja",291,"CAT"
38,"o",275,"CAT"
39,"tot",264,"CAT"
40,"fer",263,"CAT"
41,"als",255,"CAT"
42,"van",239,"CAT"
43,"anys",230,"CAT"
44,"ser",216,"CAT"
45,"seva",216,"CAT"
46,"molt",215,"CAT"
47,"seu",214,"CAT"
48,"any",205,"CAT"
49,"fins",202,"CAT"
50,"cap",198,"CAT"
51,"perquè",183,"CAT"
52,"estat",180,"CAT"
53,"si",176,"CAT"
54,"entre",174,"CAT"
55,"ho",165,"CAT"
56,"mateix",165,"CAT"
57,"està",163,"CAT"
58,"són",161,"CAT"
59,"fet",160,"CAT"
60,"sobre",157,"CAT"
61,"cal",155,"CAT"
62,"catalunya",148,"CAT"
63,"dia",146,"CAT"
64,"fa",146,"CAT"
65,"altres",144,"CAT"
66,"des",144,"CAT"
67,"li",144,"CAT"
68,"govern",140,"CAT"
69,"té",139,"CAT"
70,"cada",135,"CAT"
71,"abans",134,"CAT"
72,"on",134,"CAT"
73,"pel",134,"CAT"
74,"aquests",131,"CAT"
75,"bé",131,"CAT"
76,"només",131,"CAT"
77,"havia",130,"CAT"
78,"pot",129,"CAT"
79,"dos",126,"CAT"
80,"euros",125,"CAT"
81,"aquestes",124,"CAT"
82,"després",124,"CAT"
83,"durant",121,"CAT"
84,"part",121,"CAT"
85,"persones",120,"CAT"
86,"avui",117,"CAT"
87,"quan",115,"CAT"
88,"què",112,"CAT"
89,"sense",110,"CAT"
90,"barcelona",107,"CAT"
91,"tres",106,"CAT"
92,"alguns",105,"CAT"
93,"tots",105,"CAT"
94,"encara",102,"CAT"
95,"segons",100,"CAT"
96,"setmana",97,"CAT"
97,"tenir",93,"CAT"
98,"dir",92,"CAT"
99,"ens",92,"CAT"
100,"país",92,"CAT"
101,"milions",91,"CAT"
102,"ni",88,"CAT"
103,"nou",88,"CAT"
104,"contra",86,"CAT"
105,"era",86,"CAT"
106,"serà",86,"CAT"
107,"000",84,"CAT"
108,"final",84,"CAT"
109,"1",83,"CAT"
110,"seus",83,"CAT"
111,"gran",80,"CAT"
112,"manera",80,"CAT"
113,"partir",80,"CAT"
114,"qui",80,"CAT"
115,"veure",80,"CAT"
116,"estan",78,"CAT"
117,"cas",76,"CAT"
