"wordID","word","frequency","language"
1,"die",2452,"DEU"
2,"der",2410,"DEU"
3,"und",1534,"DEU"
4,"in",1410,"DEU"
5,"auch",899,"DEU"
6,"auf",886,"DEU"
7,"den",880,"DEU"
8,"das",839,"DEU"
9,"am",747,"DEU"
10,"mit",694,"DEU"
11,"zu",689,"DEU"
12,"von",681,"DEU"
13,"für",601,"DEU"
14,"bei",600,"DEU"
15,"im",595,"DEU"
16,"es",594,"DEU"
17,"sich",580,"DEU"
18,"ein",557,"DEU"
19,"ist",520,"DEU"
20,"dem",512,"DEU"
21,"als",506,"DEU"
22,"eine",490,"DEU"
23,"aber",484,"DEU"
24,"nicht",473,"DEU"
25,"an",455,"DEU"
26,"des",438,"DEU"
27,"er",365,"DEU"
28,"sie",356,"DEU"
29,"aus",337,"DEU"
30,"werden",328,"DEU"
31,"dass",320,"DEU"
32,"um",286,"DEU"
33,"hat",282,"DEU"
34,"noch",276,"DEU"
35,"wird",268,"DEU"
36,"nach",262,"DEU"
37,"sind",259,"DEU"
38,"einem",253,"DEU"
39,"einer",250,"DEU"
40,"einen",227,"DEU"
41,"vor",227,"DEU"
42,"wie",220,"DEU"
43,"bis",217,"DEU"
44,"zum",217,"DEU"
45,"man",213,"DEU"
46,"war",206,"DEU"
47,"nur",205,"DEU"
48,"haben",191,"DEU"
49,"da",185,"DEU"
50,"ich",185,"DEU"
51,"dann",182,"DEU"
52,"damit",181,"DEU"
53,"so",176,"DEU"
54,"dabei",175,"DEU"
55,"wir",174,"DEU"
56,"corona",173,"DEU"
57,"wurde",173,"DEU"
58,"über",170,"DEU"
59,"oder",166,"DEU"
60,"mehr",159,"DEU"
61,"sein",149,"DEU"
62,"gegen",142,"DEU"
63,"zur",142,"DEU"
64,"beim",137,"DEU"
65,"bereits",129,"DEU"
66,"wenn",128,"DEU"
67,"wieder",126,"DEU"
68,"ab",125,"DEU"
69,"hatte",125,"DEU"
70,"alle",123,"DEU"
71,"sei",120,"DEU"
72,"habe",115,"DEU"
73,"durch",113,"DEU"
74,"allerdings",111,"DEU"
75,"können",110,"DEU"
76,"prozent",108,"DEU"
77,"gibt",106,"DEU"
78,"kann",106,"DEU"
79,"dafür",102,"DEU"
80,"seine",101,"DEU"
81,"unter",101,"DEU"
82,"euro",97,"DEU"
83,"wurden",93,"DEU"
84,"menschen",91,"DEU"
85,"ihre",90,"DEU"
86,"schon",90,"DEU"
87,"soll",90,"DEU"
88,"geht",88,"DEU"
89,"muss",88,"DEU"
90,"keine",87,"DEU"
91,"außerdem",84,"DEU"
92,"waren",84,"DEU"
93,"zwei",84,"DEU"
94,"1",83,"DEU"
95,"berlin",83,"DEU"
96,"immer",83,"DEU"
97,"vom",83,"DEU"
98,"ende",81,"DEU"
99,"diese",80,"DEU"
100,"sehr",77,"DEU"
101,"was",77,"DEU"
102,"dieser",76,"DEU"
103,"nun",73,"DEU"
104,"uhr",73,"DEU"
105,"worden",72,"DEU"
106,"alles",70,"DEU"
107,"andere",70,"DEU"
108,"jetzt",69,"DEU"
109,"anderen",68,"DEU"
110,"2",66,"DEU"
111,"diesem",66,"DEU"
112,"rund",66,"DEU"
113,"drei",65,"DEU"
114,"ersten",65,"DEU"
115,"jahr",65,"DEU"
116,"eines",63,"DEU"
117,"besonders",62,"DEU"
118,"gut",62,"DEU"
119,"hier",62,"DEU"
120,"seit",62,"DEU"
121,"müssen",61,"DEU"
122,"will",61,"DEU"
123,"zeit",61,"DEU"
124,"ihrer",60,"DEU"
125,"montag",60,"DEU"
126,"sagte",60,"DEU"
127,"seiner",60,"DEU"
128,"steht",60,"DEU"
129,"coronavirus",59,"DEU"
130,"uns",58,"DEU"
131,"3",57,"DEU"
132,"ihr",57,"DEU"
133,"neue",57,"DEU"
134,"sollen",56,"DEU"
135,"000",55,"DEU"
136,"deutschland",55,"DEU"
137,"ohne",55,"DEU"
138,"etwa",54,"DEU"
139,"hatten",54,"DEU"
140,"ihren",54,"DEU"
141,"neuen",53,"DEU"
142,"sowie",53,"DEU"
143,"polizei",52,"DEU"
144,"jahre",51,"DEU"
145,"pandemie",51,"DEU"
146,"sonntag",51,"DEU"
147,"weiter",51,"DEU"
148,"also",50,"DEU"
149,"dienstag",50,"DEU"
150,"weitere",50,"DEU"
151,"donnerstag",49,"DEU"
152,"jahren",49,"DEU"
153,"mal",49,"DEU"
154,"ob",49,"DEU"
155,"seien",49,"DEU"
156,"selbst",49,"DEU"
157,"stadt",49,"DEU"
158,"wegen",49,"DEU"
159,"20",48,"DEU"
160,"2020",48,"DEU"
161,"eu",48,"DEU"
162,"sagt",48,"DEU"
163,"bislang",47,"DEU"
164,"ihn",47,"DEU"
165,"seinem",47,"DEU"
166,"viel",47,"DEU"
167,"viele",47,"DEU"
168,"30",46,"DEU"
169,"leben",46,"DEU"
170,"samstag",46,"DEU"
171,"ins",45,"DEU"
172,"kam",45,"DEU"
173,"darüber",44,"DEU"
174,"etwas",44,"DEU"
175,"gab",44,"DEU"
176,"zwischen",44,"DEU"
177,"aktuell",43,"DEU"
178,"allem",43,"DEU"
179,"cdu",43,"DEU"
180,"krise",43,"DEU"
181,"aufgrund",42,"DEU"
182,"beide",42,"DEU"
183,"danach",42,"DEU"
184,"doch",42,"DEU"
185,"freitag",42,"DEU"
186,"nichts",42,"DEU"
187,"ganz",41,"DEU"
188,"jedoch",41,"DEU"
189,"stehen",41,"DEU"
190,"derzeit",40,"DEU"
191,"könnte",40,"DEU"
192,"us",40,"DEU"
193,"4",39,"DEU"
194,"beiden",39,"DEU"
195,"dpa",39,"DEU"
196,"kein",39,"DEU"
197,"werde",39,"DEU"
198,"15",38,"DEU"
199,"daher",38,"DEU"
200,"frage",38,"DEU"
201,"kommt",38,"DEU"
202,"laut",38,"DEU"
203,"mittwoch",38,"DEU"
204,"sollte",38,"DEU"
205,"vergangenen",38,"DEU"
206,"5",37,"DEU"
207,"anfang",37,"DEU"
208,"angesichts",37,"DEU"
209,"bayern",37,"DEU"
210,"machen",37,"DEU"
211,"0",36,"DEU"
212,"19",36,"DEU"
213,"allein",36,"DEU"
214,"bisher",36,"DEU"
215,"deutschen",36,"DEU"
216,"kommen",36,"DEU"
217,"damals",35,"DEU"
218,"davon",35,"DEU"
219,"dort",35,"DEU"
220,"mann",35,"DEU"
221,"mich",35,"DEU"
222,"möglich",35,"DEU"
223,"weg",35,"DEU"
224,"dieses",34,"DEU"
225,"frau",34,"DEU"
226,"heute",34,"DEU"
227,"lassen",34,"DEU"
228,"lässt",34,"DEU"
229,"seinen",34,"DEU"
230,"seite",34,"DEU"
231,"ihm",33,"DEU"
232,"ja",33,"DEU"
233,"keinen",33,"DEU"
234,"konnte",33,"DEU"
235,"personen",33,"DEU"
236,"teil",33,"DEU"
237,"dazu",32,"DEU"
238,"deutlich",32,"DEU"
239,"diesen",32,"DEU"
240,"erst",32,"DEU"
241,"fast",32,"DEU"
242,"mai",32,"DEU"
243,"märz",32,"DEU"
244,"unternehmen",32,"DEU"
245,"wo",32,"DEU"
246,"zehn",32,"DEU"
247,"17",31,"DEU"
248,"18",31,"DEU"
249,"25",31,"DEU"
250,"bleiben",31,"DEU"
251,"darauf",31,"DEU"
252,"einige",31,"DEU"
253,"einmal",31,"DEU"
254,"große",31,"DEU"
255,"hinaus",31,"DEU"
256,"könnten",31,"DEU"
257,"sogar",31,"DEU"
258,"während",31,"DEU"
259,"weil",31,"DEU"
260,"anders",30,"DEU"
261,"ging",30,"DEU"
262,"großen",30,"DEU"
263,"jahres",30,"DEU"
264,"s",30,"DEU"
265,"welt",30,"DEU"
266,"wochenende",30,"DEU"
267,"würden",30,"DEU"
268,"14",29,"DEU"
269,"allen",29,"DEU"
270,"april",29,"DEU"
271,"erste",29,"DEU"
272,"gehen",29,"DEU"
273,"gewesen",29,"DEU"
274,"hätte",29,"DEU"
275,"jährige",29,"DEU"
276,"stand",29,"DEU"
277,"straße",29,"DEU"
278,"usa",29,"DEU"
279,"vier",29,"DEU"
280,"wäre",29,"DEU"
281,"11",28,"DEU"
282,"beispiel",28,"DEU"
283,"covid",28,"DEU"
284,"erklärt",28,"DEU"
285,"mir",28,"DEU"
286,"platz",28,"DEU"
287,"spielen",28,"DEU"
288,"tagen",28,"DEU"
289,"weiterhin",28,"DEU"
290,"wollen",28,"DEU"
291,"16",27,"DEU"
292,"biden",27,"DEU"
293,"china",27,"DEU"
294,"dadurch",27,"DEU"
295,"darf",27,"DEU"
296,"denen",27,"DEU"
297,"fünf",27,"DEU"
298,"hätten",27,"DEU"
299,"ihrem",27,"DEU"
300,"insgesamt",27,"DEU"
301,"kommenden",27,"DEU"
302,"millionen",27,"DEU"
303,"sehen",27,"DEU"
304,"sieht",27,"DEU"
305,"trotz",27,"DEU"
306,"wochen",27,"DEU"
307,"zweiten",27,"DEU"
308,"10",26,"DEU"
309,"8",26,"DEU"
310,"aktuellen",26,"DEU"
311,"daran",26,"DEU"
312,"denn",26,"DEU"
313,"lange",26,"DEU"
314,"musste",26,"DEU"
315,"nächsten",26,"DEU"
316,"sondern",26,"DEU"
317,"spiel",26,"DEU"
318,"tag",26,"DEU"
319,"thema",26,"DEU"
320,"trainer",26,"DEU"
321,"vielen",26,"DEU"
322,"woche",26,"DEU"
323,"2021",25,"DEU"
324,"6",25,"DEU"
325,"acht",25,"DEU"
326,"august",25,"DEU"
327,"bekannt",25,"DEU"
328,"deshalb",25,"DEU"
329,"deutsche",25,"DEU"
330,"februar",25,"DEU"
331,"gilt",25,"DEU"
332,"ihnen",25,"DEU"
333,"kinder",25,"DEU"
334,"klar",25,"DEU"
335,"letzten",25,"DEU"
336,"online",25,"DEU"
337,"rolle",25,"DEU"
338,"saison",25,"DEU"
339,"sollten",25,"DEU"
340,"zahl",25,"DEU"
341,"anderem",24,"DEU"
342,"arbeiten",24,"DEU"
343,"gegenüber",24,"DEU"
344,"geld",24,"DEU"
345,"macht",24,"DEU"
346,"oktober",24,"DEU"
347,"stark",24,"DEU"
348,"team",24,"DEU"
349,"würde",24,"DEU"
350,"2019",23,"DEU"
351,"7",23,"DEU"
352,"besser",23,"DEU"
353,"bevor",23,"DEU"
354,"ebenfalls",23,"DEU"
355,"entwicklung",23,"DEU"
356,"fall",23,"DEU"
357,"geben",23,"DEU"
358,"grund",23,"DEU"
359,"januar",23,"DEU"
360,"konnten",23,"DEU"
361,"münchen",23,"DEU"
362,"trump",23,"DEU"
363,"wohl",23,"DEU"
364,"zurück",23,"DEU"
365,"24",22,"DEU"
366,"dürfte",22,"DEU"
367,"eher",22,"DEU"
368,"fc",22,"DEU"
369,"frauen",22,"DEU"
370,"halten",22,"DEU"
371,"juli",22,"DEU"
372,"juni",22,"DEU"
373,"kunden",22,"DEU"
374,"kurz",22,"DEU"
375,"spd",22,"DEU"
376,"tage",22,"DEU"
377,"weiteren",22,"DEU"
378,"zunächst",22,"DEU"
379,"13",21,"DEU"
380,"22",21,"DEU"
381,"ähnlich",21,"DEU"
382,"bleibt",21,"DEU"
383,"blick",21,"DEU"
384,"dezember",21,"DEU"
385,"finden",21,"DEU"
386,"fußball",21,"DEU"
387,"gegeben",21,"DEU"
388,"gemeinsam",21,"DEU"
389,"liegt",21,"DEU"
390,"maßnahmen",21,"DEU"
391,"nehmen",21,"DEU"
392,"präsident",21,"DEU"
393,"pro",21,"DEU"
394,"regierung",21,"DEU"
395,"12",20,"DEU"
396,"afx",20,"DEU"
397,"auto",20,"DEU"
398,"betroffen",20,"DEU"
399,"dank",20,"DEU"
400,"darin",20,"DEU"
401,"dies",20,"DEU"
402,"dürfen",20,"DEU"
403,"je",20,"DEU"
404,"jeder",20,"DEU"
405,"kleine",20,"DEU"
406,"november",20,"DEU"
407,"schnell",20,"DEU"
408,"statt",20,"DEU"
409,"stellen",20,"DEU"
410,"virus",20,"DEU"
411,"wenig",20,"DEU"
412,"weniger",20,"DEU"
413,"wollte",20,"DEU"
