"wordID","word","frequency","language"
1,"the",5485,"ENG"
2,"to",2855,"ENG"
3,"and",2835,"ENG"
4,"a",2726,"ENG"
5,"of",2584,"ENG"
6,"in",1965,"ENG"
7,"that",1076,"ENG"
8,"for",1014,"ENG"
9,"s",997,"ENG"
10,"on",951,"ENG"
11,"is",938,"ENG"
12,"as",931,"ENG"
13,"but",849,"ENG"
14,"at",714,"ENG"
15,"with",714,"ENG"
16,"it",666,"ENG"
17,"was",619,"ENG"
18,"are",553,"ENG"
19,"be",540,"ENG"
20,"from",517,"ENG"
21,"have",496,"ENG"
22,"by",482,"ENG"
23,"has",464,"ENG"
24,"said",440,"ENG"
25,"he",430,"ENG"
26,"an",418,"ENG"
27,"this",400,"ENG"
28,"will",384,"ENG"
29,"not",371,"ENG"
30,"his",364,"ENG"
31,"i",361,"ENG"
32,"all",345,"ENG"
33,"after",333,"ENG"
34,"we",318,"ENG"
35,"their",310,"ENG"
36,"you",309,"ENG"
37,"they",303,"ENG"
38,"t",296,"ENG"
39,"who",287,"ENG"
40,"been",281,"ENG"
41,"were",277,"ENG"
42,"new",245,"ENG"
43,"people",244,"ENG"
44,"more",242,"ENG"
45,"or",234,"ENG"
46,"had",228,"ENG"
47,"about",224,"ENG"
48,"her",221,"ENG"
49,"out",220,"ENG"
50,"up",205,"ENG"
51,"also",201,"ENG"
52,"one",200,"ENG"
53,"she",195,"ENG"
54,"time",190,"ENG"
55,"its",185,"ENG"
56,"according",184,"ENG"
57,"can",184,"ENG"
58,"year",180,"ENG"
59,"which",178,"ENG"
60,"there",174,"ENG"
61,"if",171,"ENG"
62,"would",171,"ENG"
63,"when",166,"ENG"
64,"over",150,"ENG"
65,"than",149,"ENG"
66,"what",148,"ENG"
67,"so",147,"ENG"
68,"first",146,"ENG"
69,"into",141,"ENG"
70,"just",140,"ENG"
71,"state",139,"ENG"
72,"our",138,"ENG"
73,"like",135,"ENG"
74,"no",133,"ENG"
75,"two",133,"ENG"
76,"some",130,"ENG"
77,"other",127,"ENG"
78,"19",126,"ENG"
79,"him",126,"ENG"
80,"now",126,"ENG"
81,"both",125,"ENG"
82,"them",124,"ENG"
83,"during",122,"ENG"
84,"home",122,"ENG"
85,"being",121,"ENG"
86,"back",120,"ENG"
87,"covid",119,"ENG"
88,"us",118,"ENG"
89,"because",117,"ENG"
90,"before",116,"ENG"
91,"only",116,"ENG"
92,"your",111,"ENG"
93,"these",107,"ENG"
94,"any",104,"ENG"
95,"coronavirus",104,"ENG"
96,"do",103,"ENG"
97,"last",101,"ENG"
98,"those",101,"ENG"
99,"could",98,"ENG"
100,"health",98,"ENG"
101,"while",98,"ENG"
102,"get",97,"ENG"
103,"1",96,"ENG"
104,"another",94,"ENG"
105,"well",94,"ENG"
106,"against",93,"ENG"
107,"most",90,"ENG"
108,"day",87,"ENG"
109,"going",86,"ENG"
110,"made",86,"ENG"
111,"years",86,"ENG"
112,"government",85,"ENG"
113,"should",85,"ENG"
114,"three",84,"ENG"
115,"2",83,"ENG"
116,"2020",83,"ENG"
117,"cases",82,"ENG"
118,"many",82,"ENG"
119,"police",82,"ENG"
120,"city",81,"ENG"
121,"country",81,"ENG"
122,"may",81,"ENG"
123,"off",81,"ENG"
124,"trump",81,"ENG"
125,"world",80,"ENG"
126,"000",79,"ENG"
127,"through",79,"ENG"
128,"week",79,"ENG"
129,"work",79,"ENG"
130,"around",78,"ENG"
131,"m",78,"ENG"
132,"my",77,"ENG"
133,"still",77,"ENG"
134,"says",76,"ENG"
135,"then",76,"ENG"
136,"where",75,"ENG"
137,"even",74,"ENG"
138,"public",74,"ENG"
139,"re",73,"ENG"
140,"president",72,"ENG"
141,"how",71,"ENG"
142,"very",71,"ENG"
143,"number",69,"ENG"
144,"way",69,"ENG"
145,"between",68,"ENG"
146,"make",68,"ENG"
147,"old",68,"ENG"
148,"take",68,"ENG"
149,"down",67,"ENG"
150,"don",66,"ENG"
151,"me",66,"ENG"
152,"team",66,"ENG"
153,"high",65,"ENG"
154,"right",65,"ENG"
155,"say",65,"ENG"
156,"although",64,"ENG"
157,"place",64,"ENG"
158,"long",63,"ENG"
159,"such",63,"ENG"
160,"3",61,"ENG"
161,"game",61,"ENG"
162,"good",61,"ENG"
163,"part",61,"ENG"
164,"per",61,"ENG"
165,"help",60,"ENG"
166,"man",60,"ENG"
167,"pandemic",60,"ENG"
168,"really",59,"ENG"
169,"report",59,"ENG"
170,"since",59,"ENG"
171,"told",59,"ENG"
172,"season",58,"ENG"
173,"family",57,"ENG"
174,"friday",57,"ENG"
175,"group",57,"ENG"
176,"company",56,"ENG"
177,"much",56,"ENG"
178,"among",55,"ENG"
179,"case",55,"ENG"
180,"end",55,"ENG"
181,"see",55,"ENG"
182,"5",54,"ENG"
183,"business",54,"ENG"
184,"know",54,"ENG"
185,"life",54,"ENG"
186,"need",53,"ENG"
187,"next",53,"ENG"
188,"school",53,"ENG"
189,"virus",53,"ENG"
190,"china",52,"ENG"
191,"far",52,"ENG"
192,"million",52,"ENG"
193,"show",52,"ENG"
194,"u",52,"ENG"
195,"days",51,"ENG"
