"wordID","word","frequency","language"
1,"eta",2810,"EUS"
2,"da",1140,"EUS"
3,"zen",845,"EUS"
4,"zuen",732,"EUS"
5,"ziren",714,"EUS"
6,"izan",647,"EUS"
7,"ere",633,"EUS"
8,"bere",580,"EUS"
9,"ez",580,"EUS"
10,"bat",576,"EUS"
11,"dira",465,"EUS"
12,"du",424,"EUS"
13,"zuten",307,"EUS"
14,"egin",305,"EUS"
15,"beste",303,"EUS"
16,"baina",296,"EUS"
17,"edo",262,"EUS"
18,"bi",223,"EUS"
19,"zituen",218,"EUS"
20,"ditu",212,"EUS"
21,"dute",202,"EUS"
22,"egiten",185,"EUS"
23,"artean",181,"EUS"
24,"dago",179,"EUS"
25,"hala",174,"EUS"
26,"bizi",172,"EUS"
27,"seme",164,"EUS"
28,"egun",162,"EUS"
29,"hau",161,"EUS"
30,"den",154,"EUS"
31,"familiak",148,"EUS"
32,"batean",142,"EUS"
33,"bakarrik",140,"EUS"
34,"baino",137,"EUS"
35,"behar",134,"EUS"
36,"gaur",131,"EUS"
37,"oso",124,"EUS"
38,"bertan",117,"EUS"
39,"hainbat",116,"EUS"
40,"baten",113,"EUS"
41,"duen",113,"EUS"
42,"zituzten",108,"EUS"
43,"bezala",100,"EUS"
44,"dituzten",99,"EUS"
45,"lehen",98,"EUS"
46,"gainera",93,"EUS"
47,"pertsona",93,"EUS"
48,"dituzte",92,"EUS"
49,"euskal",92,"EUS"
50,"arte",90,"EUS"
51,"batzuk",89,"EUS"
52,"diren",89,"EUS"
53,"hartu",89,"EUS"
54,"erabiltzen",88,"EUS"
55,"batera",86,"EUS"
56,"lan",86,"EUS"
57,"azken",85,"EUS"
58,"eman",85,"EUS"
59,"horien",85,"EUS"
60,"ondoren",85,"EUS"
61,"handia",84,"EUS"
62,"hasi",84,"EUS"
63,"izena",83,"EUS"
64,"sortu",83,"EUS"
65,"daiteke",82,"EUS"
66,"baita",80,"EUS"
67,"batez",80,"EUS"
68,"daude",80,"EUS"
69,"gabeko",80,"EUS"
70,"de",78,"EUS"
71,"dela",78,"EUS"
72,"hori",78,"EUS"
73,"haren",77,"EUS"
74,"hauek",77,"EUS"
75,"hil",77,"EUS"
76,"arabera",75,"EUS"
77,"izango",75,"EUS"
78,"urte",75,"EUS"
79,"bigarren",74,"EUS"
80,"honek",74,"EUS"
81,"nahi",74,"EUS"
82,"alabak",73,"EUS"
83,"arteko",73,"EUS"
84,"esan",73,"EUS"
85,"duten",72,"EUS"
86,"batek",71,"EUS"
87,"beraz",71,"EUS"
88,"ematen",71,"EUS"
89,"alabarik",70,"EUS"
90,"lortu",70,"EUS"
91,"bikoteak",69,"EUS"
92,"gero",69,"EUS"
93,"hartzen",69,"EUS"
94,"alde",68,"EUS"
95,"berean",68,"EUS"
96,"gisa",67,"EUS"
97,"hiru",67,"EUS"
98,"zela",66,"EUS"
99,"zion",66,"EUS"
100,"asko",65,"EUS"
101,"bakarrekoak",64,"EUS"
102,"emakumeak",63,"EUS"
103,"gizonak",63,"EUS"
104,"dena",61,"EUS"
105,"garai",59,"EUS"
106,"zegoen",58,"EUS"
107,"adibidez",57,"EUS"
108,"bidez",57,"EUS"
109,"izaten",57,"EUS"
110,"ondorioz",57,"EUS"
111,"bai",55,"EUS"
112,"8",54,"EUS"
113,"behin",54,"EUS"
114,"egon",54,"EUS"
115,"honen",54,"EUS"
116,"aldiz",53,"EUS"
117,"1",52,"EUS"
118,"era",50,"EUS"
119,"gabe",50,"EUS"
120,"gehiago",50,"EUS"
121,"horiek",50,"EUS"
122,"zehar",50,"EUS"
123,"a",49,"EUS"
124,"egiteko",49,"EUS"
125,"000",48,"EUS"
126,"hasiera",48,"EUS"
127,"3",47,"EUS"
128,"eragin",47,"EUS"
129,"4",46,"EUS"
130,"batzuetan",46,"EUS"
131,"berriz",46,"EUS"
132,"egoera",46,"EUS"
133,"2",45,"EUS"
134,"zenbait",45,"EUS"
135,"12",44,"EUS"
136,"agertzen",44,"EUS"
137,"dituen",44,"EUS"
138,"erabili",44,"EUS"
139,"horrek",44,"EUS"
140,"parte",44,"EUS"
141,"dagoen",43,"EUS"
142,"guztiak",43,"EUS"
143,"hain",43,"EUS"
144,"horren",43,"EUS"
145,"horretan",43,"EUS"
146,"idatzi",43,"EUS"
147,"buruzko",42,"EUS"
148,"haien",42,"EUS"
149,"honetan",42,"EUS"
150,"sistema",42,"EUS"
151,"zeuden",42,"EUS"
152,"duena",41,"EUS"
153,"nagusia",41,"EUS"
154,"zioten",41,"EUS"
155,"bera",40,"EUS"
156,"bitartean",40,"EUS"
157,"estatu",40,"EUS"
158,"geroago",40,"EUS"
159,"hasieran",40,"EUS"
160,"nahiz",40,"EUS"
161,"aldi",39,"EUS"
162,"batetik",39,"EUS"
163,"energia",39,"EUS"
164,"espainiako",39,"EUS"
165,"askotan",38,"EUS"
166,"bada",38,"EUS"
167,"berri",38,"EUS"
168,"mota",38,"EUS"
169,"16",37,"EUS"
170,"egungo",37,"EUS"
171,"hartan",37,"EUS"
172,"izateko",37,"EUS"
173,"ohi",37,"EUS"
174,"sortzen",37,"EUS"
175,"talde",37,"EUS"
176,"5",36,"EUS"
177,"ahal",36,"EUS"
178,"aita",36,"EUS"
179,"arren",36,"EUS"
180,"bakarra",36,"EUS"
181,"daitezke",36,"EUS"
182,"dio",36,"EUS"
183,"direla",36,"EUS"
184,"en",36,"EUS"
185,"izen",36,"EUS"
186,"modu",36,"EUS"
187,"urtean",36,"EUS"
188,"ari",35,"EUS"
189,"bestalde",35,"EUS"
190,"bihurtu",35,"EUS"
191,"hizkuntza",35,"EUS"
192,"inguruan",35,"EUS"
193,"lanak",35,"EUS"
194,"nola",35,"EUS"
195,"utzi",35,"EUS"
196,"zuela",35,"EUS"
197,"burua",34,"EUS"
198,"izeneko",34,"EUS"
199,"moduan",34,"EUS"
200,"sartu",34,"EUS"
201,"aurreko",33,"EUS"
202,"denbora",33,"EUS"
203,"ezin",33,"EUS"
204,"joan",33,"EUS"
205,"bizitza",32,"EUS"
206,"erabaki",32,"EUS"
207,"ezagutzen",32,"EUS"
208,"gain",32,"EUS"
209,"handik",32,"EUS"
210,"izatea",32,"EUS"
211,"mundu",32,"EUS"
212,"oraindik",32,"EUS"
213,"ugari",32,"EUS"
214,"20",31,"EUS"
215,"antzinako",31,"EUS"
216,"aurrera",31,"EUS"
217,"aurretik",31,"EUS"
218,"esker",31,"EUS"
219,"familia",31,"EUS"
220,"herriko",31,"EUS"
221,"inguru",31,"EUS"
222,"non",31,"EUS"
223,"zein",31,"EUS"
224,"15",30,"EUS"
225,"atera",30,"EUS"
226,"beren",30,"EUS"
227,"eremu",30,"EUS"
228,"gainean",30,"EUS"
