"wordID","word","frequency","language"
1,"ja",1767,"FIN"
2,"on",1570,"FIN"
3,"ei",500,"FIN"
4,"että",495,"FIN"
5,"myös",361,"FIN"
6,"oli",356,"FIN"
7,"hän",319,"FIN"
8,"ovat",285,"FIN"
9,"mukaan",280,"FIN"
10,"mutta",271,"FIN"
11,"kun",252,"FIN"
12,"ole",211,"FIN"
13,"se",167,"FIN"
14,"kuin",158,"FIN"
15,"jos",143,"FIN"
16,"tai",142,"FIN"
17,"voi",136,"FIN"
18,"n",135,"FIN"
19,"jo",127,"FIN"
20,"ollut",125,"FIN"
21,"lisäksi",122,"FIN"
22,"suomen",121,"FIN"
23,"joka",117,"FIN"
24,"esimerkiksi",115,"FIN"
25,"sen",112,"FIN"
26,"niin",110,"FIN"
27,"sekä",108,"FIN"
28,"nyt",105,"FIN"
29,"jälkeen",102,"FIN"
30,"olla",100,"FIN"
31,"vuoden",100,"FIN"
32,"vielä",99,"FIN"
33,"kuitenkin",98,"FIN"
34,"hänen",97,"FIN"
35,"kertoo",96,"FIN"
36,"kanssa",94,"FIN"
37,"viime",94,"FIN"
38,"olisi",90,"FIN"
39,"noin",88,"FIN"
40,"sanoo",83,"FIN"
41,"venäjän",82,"FIN"
42,"1",78,"FIN"
43,"ennen",78,"FIN"
44,"kaikki",75,"FIN"
45,"vuonna",74,"FIN"
46,"muun",73,"FIN"
47,"eivät",72,"FIN"
48,"siitä",72,"FIN"
49,"eli",70,"FIN"
50,"aikana",69,"FIN"
51,"hyvin",69,"FIN"
52,"paljon",69,"FIN"
53,"muassa",67,"FIN"
54,"sitä",67,"FIN"
55,"sitten",67,"FIN"
56,"yli",67,"FIN"
57,"he",66,"FIN"
58,"koko",64,"FIN"
59,"jossa",63,"FIN"
60,"helsingin",62,"FIN"
61,"vain",62,"FIN"
62,"2",60,"FIN"
63,"tulee",60,"FIN"
64,"vuotta",60,"FIN"
65,"jotka",59,"FIN"
66,"miten",59,"FIN"
67,"sillä",58,"FIN"
68,"euroa",57,"FIN"
69,"mitä",57,"FIN"
70,"suomessa",57,"FIN"
71,"kuten",56,"FIN"
72,"kaksi",55,"FIN"
73,"koska",55,"FIN"
74,"eri",53,"FIN"
75,"pitää",53,"FIN"
76,"prosenttia",53,"FIN"
77,"ajan",52,"FIN"
78,"saa",52,"FIN"
79,"enemmän",51,"FIN"
80,"ettei",51,"FIN"
81,"olivat",51,"FIN"
82,"vastaan",51,"FIN"
83,"kertoi",50,"FIN"
84,"3",48,"FIN"
85,"näin",48,"FIN"
86,"sai",48,"FIN"
87,"5",47,"FIN"
88,"jonka",47,"FIN"
89,"aiemmin",46,"FIN"
90,"vaikka",46,"FIN"
91,"000",44,"FIN"
92,"6",44,"FIN"
93,"ne",44,"FIN"
94,"yksi",44,"FIN"
95,"4",42,"FIN"
96,"ainakin",42,"FIN"
97,"euroopan",42,"FIN"
98,"jopa",42,"FIN"
99,"vuoksi",41,"FIN"
100,"20",40,"FIN"
101,"ilman",40,"FIN"
102,"tällä",40,"FIN"
103,"vaan",40,"FIN"
104,"sanoi",39,"FIN"
105,"kaupungin",38,"FIN"
106,"tehdä",38,"FIN"
107,"tuli",38,"FIN"
108,"enää",37,"FIN"
109,"edelleen",36,"FIN"
110,"en",36,"FIN"
111,"itse",36,"FIN"
112,"mukana",36,"FIN"
113,"siihen",36,"FIN"
114,"aina",35,"FIN"
115,"eikä",35,"FIN"
116,"ensi",35,"FIN"
117,"kello",35,"FIN"
118,"mikä",35,"FIN"
119,"tämän",35,"FIN"
120,"kertaa",34,"FIN"
121,"mm",34,"FIN"
122,"perjantaina",34,"FIN"
123,"asiasta",33,"FIN"
124,"erityisesti",33,"FIN"
125,"kauden",33,"FIN"
126,"kautta",33,"FIN"
127,"kuitenkaan",33,"FIN"
128,"osa",33,"FIN"
129,"ukrainan",33,"FIN"
130,"10",32,"FIN"
131,"alueella",32,"FIN"
132,"alueen",32,"FIN"
133,"hyvä",32,"FIN"
134,"joten",32,"FIN"
135,"aika",31,"FIN"
136,"juuri",31,"FIN"
137,"lähes",31,"FIN"
138,"olevan",31,"FIN"
139,"eu",30,"FIN"
140,"pitäisi",30,"FIN"
141,"0",29,"FIN"
142,"30",29,"FIN"
143,"kolme",29,"FIN"
144,"mukaansa",29,"FIN"
145,"myöhemmin",29,"FIN"
146,"saanut",29,"FIN"
147,"suomi",29,"FIN"
148,"uuden",29,"FIN"
149,"maan",28,"FIN"
150,"määrä",28,"FIN"
151,"voisi",28,"FIN"
152,"12",27,"FIN"
153,"50",27,"FIN"
154,"kuinka",27,"FIN"
155,"lopulta",27,"FIN"
156,"tämä",27,"FIN"
157,"toiseen",27,"FIN"
158,"13",26,"FIN"
159,"18",26,"FIN"
160,"2021",26,"FIN"
161,"mitään",26,"FIN"
162,"muistuttaa",26,"FIN"
163,"tänään",26,"FIN"
164,"viikolla",26,"FIN"
165,"voivat",26,"FIN"
166,"aikaa",25,"FIN"
167,"ensimmäinen",25,"FIN"
168,"jäi",25,"FIN"
169,"kahden",25,"FIN"
170,"kyse",25,"FIN"
171,"lisää",25,"FIN"
172,"muut",25,"FIN"
173,"tiistaina",25,"FIN"
174,"torstaina",25,"FIN"
175,"välillä",25,"FIN"
176,"venäjä",25,"FIN"
177,"vuosi",25,"FIN"
178,"yhä",25,"FIN"
179,"arvioi",24,"FIN"
180,"heidän",24,"FIN"
181,"koskaan",24,"FIN"
182,"lauantaina",24,"FIN"
183,"naisten",24,"FIN"
184,"niitä",24,"FIN"
185,"nousi",24,"FIN"
186,"pohjois",24,"FIN"
187,"siinä",24,"FIN"
188,"2022",23,"FIN"
189,"aikaan",23,"FIN"
190,"antaa",23,"FIN"
191,"hieman",23,"FIN"
192,"kannattaa",23,"FIN"
193,"kyseessä",23,"FIN"
194,"nato",23,"FIN"
195,"neljä",23,"FIN"
196,"piti",23,"FIN"
197,"tehnyt",23,"FIN"
198,"voidaan",23,"FIN"
199,"7",22,"FIN"
200,"alkaa",22,"FIN"
201,"alkoi",22,"FIN"
202,"alle",22,"FIN"
203,"asia",22,"FIN"
204,"käyttää",22,"FIN"
205,"miksi",22,"FIN"
206,"olen",22,"FIN"
207,"siellä",22,"FIN"
208,"siis",22,"FIN"
209,"tähän",22,"FIN"
210,"tätä",22,"FIN"
211,"tilanne",22,"FIN"
212,"tulla",22,"FIN"
213,"tullut",22,"FIN"
214,"yhteydessä",22,"FIN"
215,"15",21,"FIN"
216,"8",21,"FIN"
217,"9",21,"FIN"
218,"ihmiset",21,"FIN"
219,"käytännössä",21,"FIN"
220,"kolmen",21,"FIN"
221,"mahdollista",21,"FIN"
222,"me",21,"FIN"
223,"mistä",21,"FIN"
224,"pois",21,"FIN"
225,"sunnuntaina",21,"FIN"
226,"tehty",21,"FIN"
227,"teki",21,"FIN"
228,"toteaa",21,"FIN"
229,"uusi",21,"FIN"
230,"uutta",21,"FIN"
231,"vasta",21,"FIN"
232,"euron",20,"FIN"
233,"hallituksen",20,"FIN"
234,"ihan",20,"FIN"
235,"kaudella",20,"FIN"
236,"kaupunki",20,"FIN"
237,"kirkon",20,"FIN"
238,"maksaa",20,"FIN"
239,"meillä",20,"FIN"
240,"mies",20,"FIN"
241,"miljoonaa",20,"FIN"
242,"nainen",20,"FIN"
243,"näyttää",20,"FIN"
244,"oman",20,"FIN"
245,"ottaa",20,"FIN"
246,"saada",20,"FIN"
247,"suomeen",20,"FIN"
248,"taas",20,"FIN"
249,"tänä",20,"FIN"
250,"tässä",20,"FIN"
251,"uusia",20,"FIN"
252,"vuodessa",20,"FIN"
253,"11",19,"FIN"
254,"16",19,"FIN"
255,"alussa",19,"FIN"
256,"ehkä",19,"FIN"
257,"eniten",19,"FIN"
258,"ensimmäisen",19,"FIN"
259,"erittäin",19,"FIN"
260,"hallitus",19,"FIN"
261,"jatkaa",19,"FIN"
262,"kerran",19,"FIN"
263,"keskiviikkona",19,"FIN"
264,"kunta",19,"FIN"
265,"laitilan",19,"FIN"
266,"miesten",19,"FIN"
267,"muita",19,"FIN"
268,"nämä",19,"FIN"
