"wordID","word","frequency","language"
1,"a",9827,"HUN"
2,"az",3527,"HUN"
3,"és",1697,"HUN"
4,"hogy",1215,"HUN"
5,"is",1183,"HUN"
6,"nem",670,"HUN"
7,"egy",656,"HUN"
8,"szerint",406,"HUN"
9,"meg",356,"HUN"
10,"de",316,"HUN"
11,"volt",313,"HUN"
12,"már",263,"HUN"
13,"azt",261,"HUN"
14,"még",240,"HUN"
15,"el",215,"HUN"
16,"csak",214,"HUN"
17,"pedig",214,"HUN"
18,"ki",208,"HUN"
19,"magyar",194,"HUN"
20,"több",192,"HUN"
21,"van",182,"HUN"
22,"mint",173,"HUN"
23,"két",167,"HUN"
24,"be",159,"HUN"
25,"1",153,"HUN"
26,"miatt",150,"HUN"
27,"majd",149,"HUN"
28,"orosz",145,"HUN"
29,"ez",140,"HUN"
30,"sem",140,"HUN"
31,"így",137,"HUN"
32,"után",137,"HUN"
33,"új",136,"HUN"
34,"vagy",135,"HUN"
35,"azonban",134,"HUN"
36,"nagy",134,"HUN"
37,"között",131,"HUN"
38,"ami",128,"HUN"
39,"első",124,"HUN"
40,"egyik",123,"HUN"
41,"kell",123,"HUN"
42,"aki",121,"HUN"
43,"ha",117,"HUN"
44,"olyan",117,"HUN"
45,"fel",114,"HUN"
46,"2",111,"HUN"
47,"lehet",111,"HUN"
48,"lesz",110,"HUN"
49,"arra",104,"HUN"
50,"úgy",102,"HUN"
51,"éves",101,"HUN"
52,"százalékkal",101,"HUN"
53,"most",99,"HUN"
54,"5",98,"HUN"
55,"ezer",97,"HUN"
56,"akkor",96,"HUN"
57,"minden",96,"HUN"
58,"3",95,"HUN"
59,"milliárd",95,"HUN"
60,"amikor",92,"HUN"
61,"millió",92,"HUN"
62,"európai",91,"HUN"
63,"mert",91,"HUN"
64,"valamint",89,"HUN"
65,"amely",88,"HUN"
66,"számára",86,"HUN"
67,"kormány",84,"HUN"
68,"mellett",84,"HUN"
69,"forint",83,"HUN"
70,"ukrán",83,"HUN"
71,"mondta",82,"HUN"
72,"ben",80,"HUN"
73,"év",78,"HUN"
74,"előtt",77,"HUN"
75,"alatt",75,"HUN"
76,"es",75,"HUN"
77,"második",75,"HUN"
78,"arról",74,"HUN"
79,"6",73,"HUN"
80,"által",73,"HUN"
81,"óta",73,"HUN"
82,"én",72,"HUN"
83,"ezt",72,"HUN"
84,"ugyanis",72,"HUN"
85,"0",69,"HUN"
86,"férfi",69,"HUN"
87,"három",69,"HUN"
88,"más",69,"HUN"
89,"s",69,"HUN"
90,"4",67,"HUN"
91,"viszont",67,"HUN"
92,"százalékos",66,"HUN"
93,"9",65,"HUN"
94,"át",65,"HUN"
95,"nagyon",65,"HUN"
96,"bár",64,"HUN"
97,"10",63,"HUN"
98,"ahol",63,"HUN"
99,"hiszen",63,"HUN"
100,"idén",63,"HUN"
101,"akik",62,"HUN"
102,"le",62,"HUN"
103,"amerikai",61,"HUN"
104,"15",58,"HUN"
105,"8",57,"HUN"
106,"akár",57,"HUN"
107,"amit",57,"HUN"
108,"egyre",57,"HUN"
109,"illetve",57,"HUN"
110,"jó",57,"HUN"
111,"lett",57,"HUN"
112,"nemzeti",57,"HUN"
113,"sok",56,"HUN"
114,"elmúlt",55,"HUN"
115,"közölte",55,"HUN"
116,"alapján",53,"HUN"
117,"ország",53,"HUN"
118,"során",53,"HUN"
119,"7",52,"HUN"
120,"közül",52,"HUN"
121,"való",52,"HUN"
122,"annak",51,"HUN"
123,"ban",51,"HUN"
124,"e",51,"HUN"
125,"százalék",51,"HUN"
126,"teljes",51,"HUN"
127,"ilyen",50,"HUN"
128,"saját",50,"HUN"
129,"ellen",49,"HUN"
130,"ezért",49,"HUN"
131,"hazai",49,"HUN"
132,"míg",49,"HUN"
133,"vannak",49,"HUN"
134,"2021",48,"HUN"
135,"együtt",48,"HUN"
136,"hanem",48,"HUN"
137,"legnagyobb",48,"HUN"
138,"nincs",48,"HUN"
139,"álló",47,"HUN"
140,"2022",46,"HUN"
141,"hozzá",46,"HUN"
142,"mi",46,"HUN"
143,"mindig",46,"HUN"
144,"nélkül",46,"HUN"
145,"például",46,"HUN"
146,"további",46,"HUN"
147,"volna",46,"HUN"
148,"ám",45,"HUN"
149,"eddig",45,"HUN"
150,"következő",45,"HUN"
151,"követően",45,"HUN"
152,"nagyobb",45,"HUN"
153,"nemzetközi",45,"HUN"
154,"újabb",45,"HUN"
155,"20",44,"HUN"
156,"ahogy",44,"HUN"
157,"cég",44,"HUN"
158,"jól",44,"HUN"
159,"európa",43,"HUN"
160,"képest",43,"HUN"
161,"négy",43,"HUN"
162,"12",42,"HUN"
163,"azzal",42,"HUN"
164,"elnök",42,"HUN"
165,"fontos",42,"HUN"
166,"helyi",42,"HUN"
167,"korábban",42,"HUN"
168,"ott",42,"HUN"
169,"továbbra",42,"HUN"
170,"áll",41,"HUN"
171,"egyesült",41,"HUN"
172,"itt",41,"HUN"
173,"háború",40,"HUN"
174,"került",40,"HUN"
175,"nap",40,"HUN"
176,"re",40,"HUN"
177,"szemben",40,"HUN"
178,"tovább",40,"HUN"
179,"ezzel",39,"HUN"
180,"harmadik",39,"HUN"
181,"írja",39,"HUN"
182,"közösségi",39,"HUN"
183,"történt",39,"HUN"
184,"voltak",39,"HUN"
185,"elleni",38,"HUN"
186,"jelenleg",38,"HUN"
187,"kellett",38,"HUN"
188,"magát",38,"HUN"
189,"megyei",38,"HUN"
190,"amelyek",37,"HUN"
191,"azért",37,"HUN"
192,"emberek",37,"HUN"
193,"lévő",37,"HUN"
194,"miniszterelnök",37,"HUN"
195,"részt",37,"HUN"
196,"30",36,"HUN"
197,"bizottság",36,"HUN"
198,"című",36,"HUN"
199,"korábbi",36,"HUN"
200,"25",35,"HUN"
201,"éppen",35,"HUN"
202,"rendőrség",35,"HUN"
203,"tavaly",35,"HUN"
204,"végén",35,"HUN"
205,"világ",35,"HUN"
206,"abban",34,"HUN"
207,"adott",34,"HUN"
208,"elmondta",34,"HUN"
209,"ember",34,"HUN"
210,"jelent",34,"HUN"
211,"kapott",34,"HUN"
212,"ma",34,"HUN"
213,"18",33,"HUN"
214,"50",33,"HUN"
215,"as",33,"HUN"
216,"elnöke",33,"HUN"
217,"mivel",33,"HUN"
218,"ne",33,"HUN"
219,"szinte",33,"HUN"
220,"11",32,"HUN"
221,"13",32,"HUN"
222,"17",32,"HUN"
223,"19",32,"HUN"
224,"azóta",32,"HUN"
225,"december",32,"HUN"
226,"először",32,"HUN"
227,"helyen",32,"HUN"
228,"hét",32,"HUN"
229,"héten",32,"HUN"
230,"katonai",32,"HUN"
231,"milyen",32,"HUN"
232,"mintegy",32,"HUN"
233,"ő",32,"HUN"
234,"szóló",32,"HUN"
235,"án",31,"HUN"
236,"bank",31,"HUN"
237,"beszélt",31,"HUN"
238,"egész",31,"HUN"
239,"érdekében",31,"HUN"
240,"érkezett",31,"HUN"
241,"forintot",31,"HUN"
242,"inkább",31,"HUN"
243,"kis",31,"HUN"
244,"magas",31,"HUN"
245,"magyarország",31,"HUN"
246,"német",31,"HUN"
247,"oroszország",31,"HUN"
248,"túl",31,"HUN"
249,"uniós",31,"HUN"
250,"vezető",31,"HUN"
251,"16",30,"HUN"
252,"2020",30,"HUN"
253,"21",30,"HUN"
