"wordID","word","frequency","language"
1,"de",7907,"SPA"
2,"la",4329,"SPA"
3,"que",3640,"SPA"
4,"el",3323,"SPA"
5,"en",3085,"SPA"
6,"a",2910,"SPA"
7,"y",2656,"SPA"
8,"los",1748,"SPA"
9,"se",1641,"SPA"
10,"con",1498,"SPA"
11,"del",1440,"SPA"
12,"las",1277,"SPA"
13,"un",1157,"SPA"
14,"para",1055,"SPA"
15,"por",983,"SPA"
16,"al",900,"SPA"
17,"una",893,"SPA"
18,"no",775,"SPA"
19,"su",731,"SPA"
20,"es",561,"SPA"
21,"como",551,"SPA"
22,"lo",536,"SPA"
23,"ha",493,"SPA"
24,"además",469,"SPA"
25,"más",462,"SPA"
26,"este",366,"SPA"
27,"sus",335,"SPA"
28,"así",318,"SPA"
29,"o",256,"SPA"
30,"esta",242,"SPA"
31,"cuando",240,"SPA"
32,"han",234,"SPA"
33,"ya",213,"SPA"
34,"pero",206,"SPA"
35,"le",205,"SPA"
36,"también",203,"SPA"
37,"ahora",194,"SPA"
38,"personas",194,"SPA"
39,"desde",193,"SPA"
40,"años",178,"SPA"
41,"está",176,"SPA"
42,"dos",173,"SPA"
43,"son",169,"SPA"
44,"asimismo",168,"SPA"
45,"todo",164,"SPA"
46,"cada",162,"SPA"
47,"19",161,"SPA"
48,"país",160,"SPA"
49,"fue",159,"SPA"
50,"hay",156,"SPA"
51,"sobre",156,"SPA"
52,"si",153,"SPA"
53,"aunque",152,"SPA"
54,"entre",152,"SPA"
55,"ser",151,"SPA"
56,"acuerdo",146,"SPA"
57,"sin",146,"SPA"
58,"hasta",144,"SPA"
59,"casos",141,"SPA"
60,"covid",139,"SPA"
61,"año",130,"SPA"
62,"día",127,"SPA"
63,"todos",126,"SPA"
64,"donde",124,"SPA"
65,"salud",122,"SPA"
66,"muy",121,"SPA"
67,"ante",118,"SPA"
68,"hecho",113,"SPA"
69,"tiene",113,"SPA"
70,"vez",113,"SPA"
71,"uno",112,"SPA"
72,"estado",111,"SPA"
73,"nos",111,"SPA"
74,"sido",110,"SPA"
75,"gobierno",109,"SPA"
76,"están",108,"SPA"
77,"pandemia",108,"SPA"
78,"coronavirus",106,"SPA"
79,"antes",105,"SPA"
80,"nacional",105,"SPA"
81,"parte",104,"SPA"
82,"cómo",102,"SPA"
83,"millones",102,"SPA"
84,"cuenta",99,"SPA"
85,"durante",99,"SPA"
86,"contra",98,"SPA"
87,"días",98,"SPA"
88,"1",95,"SPA"
89,"medidas",95,"SPA"
90,"puede",95,"SPA"
91,"ese",93,"SPA"
92,"situación",93,"SPA"
93,"ciudad",92,"SPA"
94,"me",92,"SPA"
95,"000",91,"SPA"
96,"dijo",91,"SPA"
97,"porque",91,"SPA"
98,"tres",91,"SPA"
99,"mil",89,"SPA"
100,"forma",87,"SPA"
101,"solo",87,"SPA"
102,"presidente",86,"SPA"
103,"tiempo",84,"SPA"
104,"través",83,"SPA"
105,"esa",82,"SPA"
106,"hacer",81,"SPA"
107,"les",80,"SPA"
108,"otros",80,"SPA"
109,"estos",79,"SPA"
110,"había",79,"SPA"
111,"2",78,"SPA"
112,"cabe",77,"SPA"
113,"e",77,"SPA"
114,"momento",77,"SPA"
115,"mismo",76,"SPA"
116,"algunos",75,"SPA"
117,"según",75,"SPA"
118,"menos",74,"SPA"
119,"autoridades",73,"SPA"
120,"casa",73,"SPA"
121,"mundo",73,"SPA"
122,"hoy",71,"SPA"
123,"pasado",71,"SPA"
124,"4",69,"SPA"
125,"era",69,"SPA"
126,"vida",68,"SPA"
127,"manera",67,"SPA"
128,"semana",67,"SPA"
129,"social",67,"SPA"
130,"esto",66,"SPA"
131,"seguridad",66,"SPA"
132,"horas",65,"SPA"
133,"nueva",65,"SPA"
134,"va",65,"SPA"
135,"3",64,"SPA"
136,"bien",64,"SPA"
137,"caso",64,"SPA"
138,"hace",64,"SPA"
139,"trabajo",64,"SPA"
140,"aún",63,"SPA"
141,"debido",63,"SPA"
142,"primera",63,"SPA"
143,"ellos",62,"SPA"
144,"gente",62,"SPA"
145,"mayor",62,"SPA"
146,"partir",62,"SPA"
147,"tanto",62,"SPA"
148,"estaba",61,"SPA"
149,"final",61,"SPA"
150,"nivel",61,"SPA"
151,"otras",61,"SPA"
152,"5",60,"SPA"
153,"fin",60,"SPA"
154,"lugar",60,"SPA"
155,"algo",59,"SPA"
156,"gran",59,"SPA"
157,"respecto",59,"SPA"
158,"después",58,"SPA"
159,"mucho",58,"SPA"
160,"nuevo",58,"SPA"
161,"tienen",58,"SPA"
162,"30",57,"SPA"
163,"agregó",57,"SPA"
164,"aquí",57,"SPA"
165,"casi",57,"SPA"
166,"cual",57,"SPA"
167,"estas",57,"SPA"
168,"fueron",57,"SPA"
169,"quien",57,"SPA"
170,"tener",57,"SPA"
171,"10",56,"SPA"
172,"eso",56,"SPA"
173,"mejor",56,"SPA"
174,"centro",55,"SPA"
175,"equipo",55,"SPA"
176,"otro",55,"SPA"
177,"será",55,"SPA"
178,"8",54,"SPA"
179,"ayer",54,"SPA"
180,"crisis",54,"SPA"
181,"él",54,"SPA"
182,"estados",54,"SPA"
183,"poder",54,"SPA"
184,"qué",54,"SPA"
185,"todas",54,"SPA"
186,"total",54,"SPA"
187,"tras",54,"SPA"
188,"número",53,"SPA"
189,"pesar",53,"SPA"
190,"sociales",53,"SPA"
191,"2020",52,"SPA"
192,"algunas",52,"SPA"
193,"siempre",52,"SPA"
194,"debe",51,"SPA"
195,"estar",51,"SPA"
196,"6",50,"SPA"
197,"actualmente",50,"SPA"
198,"muchos",50,"SPA"
199,"personal",50,"SPA"
200,"sector",50,"SPA"
201,"cuarentena",49,"SPA"
202,"mes",49,"SPA"
203,"partido",49,"SPA"
204,"te",49,"SPA"
205,"contagios",48,"SPA"
206,"evitar",48,"SPA"
207,"meses",48,"SPA"
208,"mi",48,"SPA"
209,"primer",48,"SPA"
210,"ahí",47,"SPA"
211,"creo",47,"SPA"
212,"españa",47,"SPA"
213,"ni",47,"SPA"
214,"provincia",47,"SPA"
215,"tu",47,"SPA"
216,"20",46,"SPA"
217,"dar",46,"SPA"
218,"empresas",46,"SPA"
219,"hora",46,"SPA"
220,"pueden",46,"SPA"
221,"tipo",46,"SPA"
222,"virus",46,"SPA"
223,"china",45,"SPA"
224,"espera",45,"SPA"
225,"frente",45,"SPA"
226,"información",45,"SPA"
227,"otra",45,"SPA"
228,"servicio",45,"SPA"
229,"sistema",45,"SPA"
230,"cualquier",44,"SPA"
231,"lunes",44,"SPA"
232,"pacientes",44,"SPA"
233,"podría",44,"SPA"
234,"general",43,"SPA"
235,"indicó",43,"SPA"
236,"tan",43,"SPA"
237,"trabajadores",43,"SPA"
238,"ambos",42,"SPA"
239,"decir",42,"SPA"
240,"encuentran",42,"SPA"
241,"marzo",42,"SPA"
242,"méxico",42,"SPA"
243,"mientras",42,"SPA"
244,"sea",42,"SPA"
245,"toda",42,"SPA"
246,"agua",41,"SPA"
247,"cuatro",41,"SPA"
248,"diferentes",41,"SPA"
249,"familia",41,"SPA"
250,"población",41,"SPA"
251,"poco",41,"SPA"
252,"policía",41,"SPA"
253,"posible",41,"SPA"
254,"positivos",41,"SPA"
255,"unos",41,"SPA"
256,"actividad",40,"SPA"
257,"actividades",40,"SPA"
258,"datos",40,"SPA"
259,"ello",40,"SPA"
260,"empresa",40,"SPA"
261,"hospital",40,"SPA"
262,"importante",40,"SPA"
263,"medio",40,"SPA"
264,"público",40,"SPA"
265,"15",39,"SPA"
266,"cosas",39,"SPA"
267,"grupo",39,"SPA"
268,"quienes",39,"SPA"
269,"redes",39,"SPA"
270,"seguir",39,"SPA"
271,"unidos",39,"SPA"
272,"ver",39,"SPA"
273,"2019",38,"SPA"
274,"allí",38,"SPA"
275,"cinco",38,"SPA"
276,"decisión",38,"SPA"
277,"euros",38,"SPA"
278,"falta",38,"SPA"
279,"haber",38,"SPA"
280,"informó",38,"SPA"
281,"medida",38,"SPA"
282,"municipio",38,"SPA"
283,"nuestra",38,"SPA"
284,"últimos",38,"SPA"
285,"12",37,"SPA"
286,"7",37,"SPA"
287,"apoyo",37,"SPA"
288,"cerca",37,"SPA"
289,"claro",37,"SPA"
290,"conocer",37,"SPA"
291,"cuál",37,"SPA"
292,"economía",37,"SPA"
293,"edad",37,"SPA"
294,"nuevas",37,"SPA"
295,"nuevos",37,"SPA"
296,"países",37,"SPA"
297,"seis",37,"SPA"
298,"varias",37,"SPA"
299,"9",36,"SPA"
300,"llegar",36,"SPA"
301,"pesos",36,"SPA"
302,"política",36,"SPA"
303,"proyecto",36,"SPA"
304,"bajo",35,"SPA"
305,"dentro",35,"SPA"
306,"diciembre",35,"SPA"
307,"dinero",35,"SPA"
308,"investigación",35,"SPA"
309,"largo",35,"SPA"
310,"luego",35,"SPA"
311,"ministerio",35,"SPA"
312,"nuestro",35,"SPA"
313,"sino",35,"SPA"
314,"varios",35,"SPA"
315,"viernes",35,"SPA"
316,"25",34,"SPA"
317,"aseguró",34,"SPA"
318,"da",34,"SPA"
319,"hacia",34,"SPA"
320,"hizo",34,"SPA"
321,"ley",34,"SPA"
322,"local",34,"SPA"
323,"modo",34,"SPA"
324,"pública",34,"SPA"
325,"san",34,"SPA"
326,"sanitaria",34,"SPA"
327,"zona",34,"SPA"
328,"área",33,"SPA"
329,"argentina",33,"SPA"
330,"ayuda",33,"SPA"
331,"emergencia",33,"SPA"
332,"estamos",33,"SPA"
333,"servicios",33,"SPA"
334,"sí",33,"SPA"
335,"tenemos",33,"SPA"
336,"van",33,"SPA"
337,"ella",32,"SPA"
338,"fecha",32,"SPA"
339,"hemos",32,"SPA"
340,"igual",32,"SPA"
341,"nunca",32,"SPA"
342,"región",32,"SPA"
343,"segunda",32,"SPA"
344,"señaló",32,"SPA"
345,"siendo",32,"SPA"
346,"tenía",32,"SPA"
347,"veces",32,"SPA"
348,"14",31,"SPA"
349,"21",31,"SPA"
350,"atención",31,"SPA"
351,"condiciones",31,"SPA"
352,"dio",31,"SPA"
353,"enfermedad",31,"SPA"
354,"muchas",31,"SPA"
355,"mujer",31,"SPA"
356,"proceso",31,"SPA"
357,"programa",31,"SPA"
358,"pues",31,"SPA"
359,"último",31,"SPA"
360,"11",30,"SPA"
361,"actual",30,"SPA"
362,"agentes",30,"SPA"
363,"causa",30,"SPA"
364,"club",30,"SPA"
365,"explicó",30,"SPA"
366,"historia",30,"SPA"
367,"línea",30,"SPA"
368,"manos",30,"SPA"
369,"plan",30,"SPA"
370,"problemas",30,"SPA"
371,"yo",30,"SPA"
372,"100",29,"SPA"
373,"alrededor",29,"SPA"
374,"cambio",29,"SPA"
375,"capacidad",29,"SPA"
376,"comisión",29,"SPA"
377,"dado",29,"SPA"
378,"debemos",29,"SPA"
379,"domingo",29,"SPA"
380,"esas",29,"SPA"
381,"hombre",29,"SPA"
382,"julio",29,"SPA"
383,"junto",29,"SPA"
384,"llegó",29,"SPA"
385,"mundial",29,"SPA"
386,"noche",29,"SPA"
387,"objetivo",29,"SPA"
388,"segundo",29,"SPA"
389,"sigue",29,"SPA"
390,"alto",28,"SPA"
391,"dólares",28,"SPA"
392,"ejemplo",28,"SPA"
393,"encuentra",28,"SPA"
394,"internacional",28,"SPA"
395,"lópez",28,"SPA"
396,"mayores",28,"SPA"
397,"persona",28,"SPA"
398,"pruebas",28,"SPA"
399,"pueblo",28,"SPA"
400,"sábado",28,"SPA"
401,"tarde",28,"SPA"
402,"tuvo",28,"SPA"
403,"baja",27,"SPA"
404,"centros",27,"SPA"
405,"destacar",27,"SPA"
406,"entidad",27,"SPA"
407,"haya",27,"SPA"
408,"mayoría",27,"SPA"
409,"minutos",27,"SPA"
410,"mujeres",27,"SPA"
411,"puntos",27,"SPA"
412,"tomar",27,"SPA"
413,"venezuela",27,"SPA"
414,"apenas",26,"SPA"
415,"buen",26,"SPA"
416,"cabo",26,"SPA"
417,"calle",26,"SPA"
418,"ciento",26,"SPA"
419,"comunicado",26,"SPA"
420,"económica",26,"SPA"
421,"familias",26,"SPA"
422,"federal",26,"SPA"
423,"fernández",26,"SPA"
424,"inicio",26,"SPA"
425,"ir",26,"SPA"
426,"martes",26,"SPA"
427,"mayo",26,"SPA"
428,"medios",26,"SPA"
429,"nada",26,"SPA"
430,"octubre",26,"SPA"
431,"podemos",26,"SPA"
432,"posibilidad",26,"SPA"
433,"salir",26,"SPA"
434,"sociedad",26,"SPA"
435,"tenido",26,"SPA"
436,"uso",26,"SPA"
437,"volver",26,"SPA"
438,"18",25,"SPA"
439,"22",25,"SPA"
440,"50",25,"SPA"
441,"alta",25,"SPA"
442,"carlos",25,"SPA"
443,"carrera",25,"SPA"
444,"cierre",25,"SPA"
445,"ciudadanos",25,"SPA"
446,"comenzó",25,"SPA"
447,"comunidad",25,"SPA"
448,"confinamiento",25,"SPA"
449,"control",25,"SPA"
450,"equipos",25,"SPA"
451,"grandes",25,"SPA"
452,"haciendo",25,"SPA"
453,"junio",25,"SPA"
454,"mercado",25,"SPA"
455,"ministro",25,"SPA"
456,"muertes",25,"SPA"
457,"organización",25,"SPA"
458,"realizar",25,"SPA"
459,"sur",25,"SPA"
460,"trabajando",25,"SPA"
461,"00",24,"SPA"
462,"16",24,"SPA"
463,"afirmó",24,"SPA"
464,"aumento",24,"SPA"
465,"comercio",24,"SPA"
466,"contacto",24,"SPA"
467,"cuales",24,"SPA"
468,"dicho",24,"SPA"
469,"eran",24,"SPA"
470,"estaban",24,"SPA"
471,"gracias",24,"SPA"
472,"he",24,"SPA"
473,"incluso",24,"SPA"
474,"joven",24,"SPA"
475,"justicia",24,"SPA"
476,"luis",24,"SPA"
477,"misma",24,"SPA"
478,"nosotros",24,"SPA"
479,"positivo",24,"SPA"
480,"producción",24,"SPA"
481,"pueda",24,"SPA"
482,"puedan",24,"SPA"
483,"serán",24,"SPA"
484,"sólo",24,"SPA"
485,"temporada",24,"SPA"
486,"unas",24,"SPA"
487,"violencia",24,"SPA"
488,"200",23,"SPA"
489,"añadió",23,"SPA"
490,"andrés",23,"SPA"
491,"busca",23,"SPA"
492,"cantidad",23,"SPA"
493,"compañía",23,"SPA"
494,"desarrollo",23,"SPA"
495,"destacó",23,"SPA"
496,"director",23,"SPA"
497,"estudiantes",23,"SPA"
498,"fuera",23,"SPA"
499,"habían",23,"SPA"
500,"locales",23,"SPA"
501,"madre",23,"SPA"
502,"manuel",23,"SPA"
503,"mediante",23,"SPA"
504,"miércoles",23,"SPA"
505,"partes",23,"SPA"
506,"partidos",23,"SPA"
507,"pasar",23,"SPA"
508,"plazo",23,"SPA"
509,"primeros",23,"SPA"
510,"problema",23,"SPA"
511,"quiere",23,"SPA"
512,"recordar",23,"SPA"
513,"resultado",23,"SPA"
514,"reunión",23,"SPA"
515,"riesgo",23,"SPA"
516,"tema",23,"SPA"
517,"territorio",23,"SPA"
518,"trata",23,"SPA"
519,"últimas",23,"SPA"
520,"usuarios",23,"SPA"
521,"vehículo",23,"SPA"
522,"víctimas",23,"SPA"
523,"acceso",22,"SPA"
524,"aislamiento",22,"SPA"
