"wordID","word","frequency","language"
1,"и",3796,"SRP"
2,"је",3277,"SRP"
3,"у",2684,"SRP"
4,"да",1965,"SRP"
5,"на",1626,"SRP"
6,"се",1368,"SRP"
7,"за",1248,"SRP"
8,"су",1024,"SRP"
9,"од",832,"SRP"
10,"а",701,"SRP"
11,"са",663,"SRP"
12,"из",527,"SRP"
13,"до",477,"SRP"
14,"ће",459,"SRP"
15,"који",407,"SRP"
16,"не",369,"SRP"
17,"као",316,"SRP"
18,"што",287,"SRP"
19,"али",284,"SRP"
20,"како",280,"SRP"
21,"то",264,"SRP"
22,"о",243,"SRP"
23,"данас",230,"SRP"
24,"које",213,"SRP"
25,"бити",209,"SRP"
26,"није",205,"SRP"
27,"би",203,"SRP"
28,"када",203,"SRP"
29,"која",202,"SRP"
30,"све",194,"SRP"
31,"смо",193,"SRP"
32,"по",191,"SRP"
33,"због",177,"SRP"
34,"године",169,"SRP"
35,"србије",165,"SRP"
36,"више",164,"SRP"
37,"већ",156,"SRP"
38,"дана",155,"SRP"
39,"сам",153,"SRP"
40,"било",150,"SRP"
41,"година",150,"SRP"
42,"само",150,"SRP"
43,"или",147,"SRP"
44,"биће",138,"SRP"
45,"још",137,"SRP"
46,"био",135,"SRP"
47,"чачак",134,"SRP"
48,"јер",130,"SRP"
49,"један",128,"SRP"
50,"каже",126,"SRP"
51,"без",121,"SRP"
52,"ми",117,"SRP"
53,"била",115,"SRP"
54,"тако",115,"SRP"
55,"има",114,"SRP"
56,"их",114,"SRP"
57,"града",106,"SRP"
58,"ове",106,"SRP"
59,"ни",104,"SRP"
60,"време",101,"SRP"
61,"опште",101,"SRP"
62,"док",100,"SRP"
63,"око",100,"SRP"
64,"болнице",99,"SRP"
65,"много",97,"SRP"
66,"може",97,"SRP"
67,"ковид",94,"SRP"
68,"па",94,"SRP"
69,"чачка",94,"SRP"
70,"три",93,"SRP"
71,"два",92,"SRP"
72,"сада",91,"SRP"
73,"могу",90,"SRP"
74,"дан",88,"SRP"
75,"нису",88,"SRP"
76,"динара",86,"SRP"
77,"пре",86,"SRP"
78,"температура",85,"SRP"
79,"своје",84,"SRP"
80,"након",83,"SRP"
81,"србији",83,"SRP"
82,"уз",83,"SRP"
83,"где",82,"SRP"
84,"код",82,"SRP"
85,"после",80,"SRP"
86,"ако",79,"SRP"
87,"него",79,"SRP"
88,"1",78,"SRP"
89,"овај",78,"SRP"
90,"општине",77,"SRP"
91,"нема",76,"SRP"
92,"иначе",75,"SRP"
93,"нас",75,"SRP"
94,"буде",74,"SRP"
95,"део",74,"SRP"
96,"тога",73,"SRP"
97,"кроз",72,"SRP"
98,"степени",72,"SRP"
99,"зато",71,"SRP"
100,"свим",70,"SRP"
101,"000",67,"SRP"
102,"највиша",67,"SRP"
103,"начин",67,"SRP"
104,"овог",67,"SRP"
105,"га",66,"SRP"
106,"им",66,"SRP"
107,"20",65,"SRP"
108,"број",65,"SRP"
109,"коју",65,"SRP"
110,"први",65,"SRP"
111,"школе",65,"SRP"
112,"људи",64,"SRP"
113,"пут",64,"SRP"
114,"рекао",64,"SRP"
115,"2022",63,"SRP"
116,"треба",63,"SRP"
117,"веома",62,"SRP"
118,"нам",62,"SRP"
119,"15",61,"SRP"
120,"нешто",60,"SRP"
121,"према",60,"SRP"
122,"часова",60,"SRP"
123,"велики",59,"SRP"
124,"две",59,"SRP"
125,"извор",59,"SRP"
126,"место",59,"SRP"
127,"иако",58,"SRP"
128,"јуче",58,"SRP"
129,"сви",58,"SRP"
130,"19",57,"SRP"
131,"2",56,"SRP"
132,"ли",56,"SRP"
133,"милиона",56,"SRP"
134,"ртс",56,"SRP"
135,"током",56,"SRP"
136,"30",55,"SRP"
137,"неколико",55,"SRP"
138,"увек",55,"SRP"
139,"12",54,"SRP"
140,"4",54,"SRP"
141,"оквиру",54,"SRP"
142,"чачку",54,"SRP"
143,"14",53,"SRP"
144,"други",53,"SRP"
145,"културе",53,"SRP"
146,"њих",53,"SRP"
147,"те",53,"SRP"
148,"10",52,"SRP"
149,"5",52,"SRP"
150,"једна",52,"SRP"
151,"којима",52,"SRP"
152,"мање",51,"SRP"
153,"они",51,"SRP"
154,"3",50,"SRP"
155,"били",50,"SRP"
156,"ово",50,"SRP"
157,"овом",50,"SRP"
158,"пет",50,"SRP"
159,"рад",50,"SRP"
160,"тај",50,"SRP"
161,"требало",50,"SRP"
162,"даље",49,"SRP"
163,"имају",49,"SRP"
164,"наше",49,"SRP"
165,"радова",49,"SRP"
166,"седам",49,"SRP"
167,"ту",49,"SRP"
168,"др",48,"SRP"
169,"колико",48,"SRP"
170,"ради",48,"SRP"
171,"под",47,"SRP"
172,"реч",47,"SRP"
173,"шта",47,"SRP"
174,"живота",46,"SRP"
175,"имали",46,"SRP"
176,"му",46,"SRP"
177,"одељењима",46,"SRP"
178,"преко",46,"SRP"
179,"енергије",45,"SRP"
180,"наша",45,"SRP"
181,"она",45,"SRP"
182,"поред",45,"SRP"
183,"24",44,"SRP"
184,"београду",44,"SRP"
185,"град",44,"SRP"
186,"ко",44,"SRP"
187,"места",44,"SRP"
188,"свих",44,"SRP"
189,"својим",44,"SRP"
190,"6",43,"SRP"
191,"годину",43,"SRP"
192,"добро",43,"SRP"
193,"електричне",43,"SRP"
194,"ипак",43,"SRP"
195,"можда",43,"SRP"
196,"одељења",43,"SRP"
197,"односно",43,"SRP"
198,"одсто",43,"SRP"
199,"пута",43,"SRP"
200,"сати",43,"SRP"
201,"16",42,"SRP"
202,"ветар",42,"SRP"
203,"времена",42,"SRP"
204,"највише",42,"SRP"
205,"неће",42,"SRP"
206,"ова",42,"SRP"
207,"8",41,"SRP"
208,"буду",41,"SRP"
209,"мало",41,"SRP"
210,"међу",41,"SRP"
211,"очекује",41,"SRP"
212,"с",41,"SRP"
213,"четири",41,"SRP"
214,"дневна",40,"SRP"
215,"имати",40,"SRP"
216,"лица",40,"SRP"
217,"свој",40,"SRP"
218,"слаб",40,"SRP"
219,"касније",39,"SRP"
220,"посебно",39,"SRP"
221,"прегледа",39,"SRP"
222,"председник",39,"SRP"
223,"заједно",38,"SRP"
224,"ја",38,"SRP"
225,"коме",38,"SRP"
226,"ништа",38,"SRP"
227,"25",37,"SRP"
228,"између",37,"SRP"
229,"нове",37,"SRP"
230,"21",36,"SRP"
231,"7",36,"SRP"
232,"лознице",36,"SRP"
233,"пацијената",36,"SRP"
234,"часа",36,"SRP"
235,"граду",35,"SRP"
236,"лозница",35,"SRP"
237,"најбољи",35,"SRP"
238,"петровић",35,"SRP"
239,"ћемо",35,"SRP"
240,"умерен",35,"SRP"
241,"kоrоnа",34,"SRP"
242,"директор",34,"SRP"
243,"најнижа",34,"SRP"
244,"нама",34,"SRP"
245,"неки",34,"SRP"
246,"помоћ",34,"SRP"
247,"последња",34,"SRP"
248,"развој",34,"SRP"
249,"степена",34,"SRP"
250,"тек",34,"SRP"
251,"школа",34,"SRP"
252,"школи",34,"SRP"
253,"00",33,"SRP"
254,"амбуланти",33,"SRP"
255,"једном",33,"SRP"
256,"којој",33,"SRP"
257,"крају",33,"SRP"
258,"наравно",33,"SRP"
259,"оно",33,"SRP"
260,"пред",33,"SRP"
261,"предузећа",33,"SRP"
262,"рада",33,"SRP"
263,"тренутно",33,"SRP"
264,"удружења",33,"SRP"
265,"9",32,"SRP"
266,"u",32,"SRP"
267,"градоначелник",32,"SRP"
268,"живи",32,"SRP"
269,"живот",32,"SRP"
270,"земље",32,"SRP"
271,"младе",32,"SRP"
272,"можемо",32,"SRP"
273,"налази",32,"SRP"
