"wordID","word","frequency","language"
1,"ve",1507,"TUR"
2,"bir",1236,"TUR"
3,"bu",1016,"TUR"
4,"da",697,"TUR"
5,"de",626,"TUR"
6,"için",442,"TUR"
7,"ile",400,"TUR"
8,"çok",292,"TUR"
9,"daha",282,"TUR"
10,"olarak",264,"TUR"
11,"nin",208,"TUR"
12,"olan",208,"TUR"
13,"en",198,"TUR"
14,"ın",195,"TUR"
15,"göre",192,"TUR"
16,"her",185,"TUR"
17,"türkiye",167,"TUR"
18,"ise",166,"TUR"
19,"nın",164,"TUR"
20,"in",153,"TUR"
21,"kadar",150,"TUR"
22,"ne",144,"TUR"
23,"başkanı",140,"TUR"
24,"sonra",138,"TUR"
25,"gibi",137,"TUR"
26,"erdoğan",134,"TUR"
27,"ilk",133,"TUR"
28,"var",126,"TUR"
29,"dedi",125,"TUR"
30,"2",123,"TUR"
31,"büyük",122,"TUR"
32,"devam",121,"TUR"
33,"1",118,"TUR"
34,"yeni",118,"TUR"
35,"yüzde",117,"TUR"
36,"ya",113,"TUR"
37,"olduğunu",112,"TUR"
38,"bin",110,"TUR"
39,"genel",109,"TUR"
40,"3",108,"TUR"
41,"hem",108,"TUR"
42,"olduğu",108,"TUR"
43,"önemli",106,"TUR"
44,"tarafından",105,"TUR"
45,"ilgili",104,"TUR"
46,"oldu",104,"TUR"
47,"yıl",104,"TUR"
48,"yer",102,"TUR"
49,"ama",101,"TUR"
50,"son",101,"TUR"
51,"ancak",99,"TUR"
52,"iyi",95,"TUR"
53,"a",93,"TUR"
54,"etti",93,"TUR"
55,"biz",89,"TUR"
56,"iki",89,"TUR"
57,"ardından",88,"TUR"
58,"yapılan",87,"TUR"
59,"milyon",86,"TUR"
60,"şekilde",86,"TUR"
61,"arasında",85,"TUR"
62,"aynı",85,"TUR"
63,"diye",84,"TUR"
64,"birlikte",83,"TUR"
65,"bugün",83,"TUR"
66,"cumhurbaşkanı",83,"TUR"
67,"ye",82,"TUR"
68,"önce",81,"TUR"
69,"abd",79,"TUR"
70,"e",78,"TUR"
71,"tüm",78,"TUR"
72,"ayrıca",77,"TUR"
73,"değil",77,"TUR"
74,"bunun",76,"TUR"
75,"istanbul",76,"TUR"
76,"eden",75,"TUR"
77,"geldi",74,"TUR"
78,"parti",74,"TUR"
79,"avrupa",73,"TUR"
80,"chp",73,"TUR"
81,"5",72,"TUR"
82,"yaptığı",72,"TUR"
83,"başkan",71,"TUR"
84,"gün",70,"TUR"
85,"gelen",69,"TUR"
86,"4",68,"TUR"
87,"nde",68,"TUR"
88,"fazla",67,"TUR"
89,"ben",66,"TUR"
90,"diğer",66,"TUR"
91,"iş",66,"TUR"
92,"üzere",66,"TUR"
93,"karşı",65,"TUR"
94,"sosyal",65,"TUR"
95,"üzerine",65,"TUR"
96,"nun",64,"TUR"
97,"olmak",64,"TUR"
98,"zaman",64,"TUR"
99,"alan",63,"TUR"
100,"burada",63,"TUR"
101,"dan",63,"TUR"
102,"açıklamada",62,"TUR"
103,"ki",62,"TUR"
104,"bakanı",61,"TUR"
105,"o",61,"TUR"
106,"bulunan",60,"TUR"
107,"ediyor",60,"TUR"
108,"yok",60,"TUR"
109,"2022",59,"TUR"
110,"bizim",59,"TUR"
111,"dünya",59,"TUR"
112,"geçen",59,"TUR"
113,"içinde",59,"TUR"
114,"yüksek",59,"TUR"
115,"10",58,"TUR"
116,"kişi",58,"TUR"
117,"milyar",58,"TUR"
118,"söyledi",58,"TUR"
119,"yönelik",58,"TUR"
120,"birçok",57,"TUR"
121,"lira",56,"TUR"
122,"buna",55,"TUR"
123,"konuştu",55,"TUR"
124,"ortaya",55,"TUR"
125,"çıktı",54,"TUR"
126,"6",53,"TUR"
127,"kez",53,"TUR"
128,"tl",53,"TUR"
129,"türk",53,"TUR"
130,"7",52,"TUR"
131,"devlet",52,"TUR"
132,"un",52,"TUR"
133,"çünkü",51,"TUR"
134,"günü",51,"TUR"
135,"ifade",51,"TUR"
136,"nda",51,"TUR"
137,"olacak",51,"TUR"
138,"rusya",51,"TUR"
139,"ukrayna",51,"TUR"
140,"kullandı",50,"TUR"
141,"veya",50,"TUR"
142,"yaptı",50,"TUR"
143,"bazı",49,"TUR"
144,"den",49,"TUR"
145,"farklı",49,"TUR"
146,"ilişkin",49,"TUR"
147,"sadece",49,"TUR"
148,"bunu",47,"TUR"
149,"edildi",47,"TUR"
150,"ülke",47,"TUR"
151,"20",46,"TUR"
152,"aldı",46,"TUR"
153,"belediye",46,"TUR"
154,"para",46,"TUR"
155,"benim",45,"TUR"
156,"na",45,"TUR"
157,"neden",45,"TUR"
158,"ayında",44,"TUR"
159,"az",44,"TUR"
160,"eski",44,"TUR"
161,"içerisinde",44,"TUR"
162,"kendi",44,"TUR"
163,"olması",44,"TUR"
164,"tayyip",44,"TUR"
165,"verdi",44,"TUR"
166,"geçtiğimiz",43,"TUR"
167,"özel",43,"TUR"
168,"recep",43,"TUR"
169,"tek",43,"TUR"
170,"9",42,"TUR"
171,"ak",42,"TUR"
172,"ankara",42,"TUR"
173,"doğru",42,"TUR"
174,"i",42,"TUR"
175,"artık",41,"TUR"
176,"böyle",41,"TUR"
177,"dolar",41,"TUR"
178,"ifadelerini",41,"TUR"
179,"nedeniyle",41,"TUR"
180,"sağlık",41,"TUR"
